# %ECSV 0.9
# ---
# datatype:
# - {name: 'Det #', datatype: int32}
# - {name: Grid Label, datatype: string}
# - {name: Slit Width, unit: mm, datatype: float64}
# - {name: Bridge Width, unit: mm, datatype: float64}
# - {name: Phase Sense, datatype: int32}
# - {name: Front Pitch, unit: mm, datatype: float64}
# - {name: Front Orient, unit: deg, datatype: float64}
# - {name: Rear Pitch, unit: mm, datatype: float64}
# - {name: Rear Orient, unit: deg, datatype: float64}
# - {name: Bridge Pitch, unit: mm, datatype: float64}
# - {name: Bridge Orient, unit: deg, datatype: float64}
# - {name: SC Xcen, unit: mm, datatype: float64}
# - {name: SC Ycen, unit: mm, datatype: float64}
# - {name: Front Xsize, unit: mm, datatype: float64}
# - {name: Front Ysize, unit: mm, datatype: float64}
# - {name: Rear Xsize, unit: mm, datatype: float64}
# - {name: Rear Ysize, unit: mm, datatype: float64}
# - {name: Detect Xsize, unit: mm, datatype: float64}
# - {name: Detect Ysize, unit: mm, datatype: float64}
# - {name: L Pixel Xsize, unit: mm, datatype: float64}
# - {name: L Pixel Ysize, unit: mm, datatype: float64}
# - {name: S Pixel Xsize, unit: mm, datatype: float64}
# - {name: S Pixel Ysize, unit: mm, datatype: float64}
# schema: astropy-2.0
"Det #" "Grid Label" "Slit Width" "Bridge Width" "Phase Sense" "Front Pitch" "Front Orient" "Rear Pitch" "Rear Orient" "Bridge Pitch" "Bridge Orient" "SC Xcen" "SC Ycen" "Front Xsize" "Front Ysize" "Rear Xsize" "Rear Ysize" "Detect Xsize" "Detect Ysize" "L Pixel Xsize" "L Pixel Ysize" "S Pixel Xsize" "S Pixel Ysize"
1 3c 0.042 0.05 -1 0.078039 169.956 0.077364 170.044 1.13 80.0 -62.5 36.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
2 5c 0.083 0.05 1 0.158078 130.394 0.159925 129.601 1.97 40.0 -62.5 13.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
3 10a 0.479 0.0 1 0.909644 151.481 0.999045 148.374 0.0 0.0 -62.5 -13.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
4 8c 0.236 0.05 -1 0.461187 68.589 0.469602 71.437 3.15 160.0 -62.5 -36.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
5 4b 0.059 0.05 -1 0.110594 29.82 0.111811 30.182 1.69 120.0 -37.5 59.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
6 5a 0.083 0.05 -1 0.158505 69.515 0.159487 70.488 1.58 160.0 -37.5 36.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
7 3a 0.042 0.05 1 0.077582 110.237 0.077817 109.762 1.05 20.0 -37.5 13.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
8 7b 0.166 0.05 1 0.320259 150.521 0.33068 149.462 2.66 60.0 -37.5 -13.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
9 cfl 8.8 6.9 0 14.3 0.0 0.0 0.0 13.45 90.0 -37.5 -36.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
10 bkg 0.0 0.0 0 0.0 0.0 0.0 0.0 0.0 0.0 -37.5 -59.5 22.0 20.0 13.0 13.0 8.8 9.2 2.2 4.6 1.1 0.91
