site_id,date,latitude,longitude,elevation,slope,aspect,soil_ph,soil_moisture,temperature,precipitation,land_use,habitat_type,Quercus_alba,Acer_saccharum,Fagus_grandifolia,Betula_alleghaniensis,Tsuga_canadensis,Pinus_strobus,Fraxinus_americana,Tilia_americana,Ulmus_americana,Carya_ovata,Juglans_nigra,Populus_tremuloides,Prunus_serotina,Amelanchier_canadensis,Viburnum_lantanoides,Sambucus_canadensis,Cornus_florida,Rhododendron_maximum,Kalmia_latifolia,Vaccinium_corymbosum,Gaultheria_procumbens,Mitchella_repens,Trientalis_borealis,Maianthemum_canadense,Dryopteris_marginalis,Polystichum_acrostichoides,Athyrium_filix_femina,Osmunda_claytoniana,Pteridium_aquilinum
SITE_001,2023-06-15,44.2619,-72.5806,850,15,180,6.2,0.35,18.5,120,forest,deciduous,25,18,12,8,0,0,6,4,2,0,0,15,3,8,12,6,2,0,0,5,15,8,12,20,18,10,6,8,0
SITE_002,2023-06-16,44.2634,-72.5821,875,22,165,6.0,0.42,17.8,125,forest,mixed,32,22,16,12,8,6,8,6,1,4,0,12,5,6,10,4,3,2,1,8,12,6,10,16,22,8,4,6,2
SITE_003,2023-06-17,44.2651,-72.5835,900,28,150,5.8,0.48,17.2,130,forest,mixed,28,20,18,15,12,10,5,8,0,6,2,8,4,4,8,2,4,4,3,12,10,4,8,18,20,12,8,10,5
SITE_004,2023-06-18,44.2668,-72.5849,925,35,135,5.6,0.55,16.5,135,forest,coniferous,15,12,10,18,20,16,2,4,0,2,0,6,2,2,6,1,2,8,6,16,8,2,6,15,18,16,12,14,8
SITE_005,2023-06-19,44.2685,-72.5864,950,42,120,5.4,0.62,15.8,140,forest,coniferous,8,6,5,22,25,20,1,2,0,1,0,4,1,1,4,0,1,12,10,20,6,1,4,12,16,20,16,18,12
SITE_006,2023-06-20,44.2702,-72.5878,975,18,200,6.4,0.38,18.2,118,forest,deciduous,30,24,20,6,0,2,10,8,3,8,4,18,6,10,15,8,5,0,0,4,18,12,15,22,24,8,4,5,1
SITE_007,2023-06-21,44.2719,-72.5892,825,12,185,6.6,0.32,19.1,115,forest,deciduous,35,28,15,4,0,1,12,10,4,12,6,22,8,12,18,10,6,0,0,2,20,15,18,25,28,6,2,3,0
SITE_008,2023-06-22,44.2736,-72.5907,800,8,170,6.8,0.28,19.8,110,edge,edge,28,20,8,2,0,3,15,6,6,15,8,25,10,15,12,12,8,1,0,6,16,18,12,20,22,4,6,2,3
SITE_009,2023-06-23,44.2753,-72.5921,775,5,155,7.0,0.25,20.5,105,edge,edge,22,15,4,1,0,5,18,4,8,18,12,28,12,18,8,15,10,0,0,8,12,20,10,18,20,2,8,1,5
SITE_010,2023-06-24,44.2770,-72.5935,750,3,140,7.2,0.22,21.2,100,grassland,grassland,5,2,0,0,0,2,6,1,4,8,6,35,8,12,4,18,6,0,0,12,8,25,6,10,12,1,10,0,8
