#IMF [M/H]    Age      U      B      V      R      I      J      H      K     U-V    B-V    V-R    V-I    V-J    V-H     V-K      (M/L)U   (M/L)B   (M/L)V   (M/L)R   (M/L)I   (M/L)J   (M/L)H   (M/L)K  F439W  F555W  F675W F814W 439-555 555-675 555-814
#=========================================================================================================================================================================================================================================================
1.30 -2.3152  0.0631   3.508  4.112  4.238  4.261  4.293  4.330  4.252  4.230 -0.730 -0.126 -0.022 -0.055 -0.092 -0.014  0.008    0.043    0.087    0.174    0.247    0.339    0.525    0.655    0.677  4.116  4.232  4.268  4.292 -0.115 -0.036 -0.060
1.30 -2.3152  0.0708   3.594  4.173  4.289  4.305  4.329  4.349  4.259  4.236 -0.695 -0.116 -0.017 -0.040 -0.060  0.030  0.053    0.047    0.092    0.181    0.257    0.349    0.532    0.657    0.678  4.177  4.283  4.311  4.328 -0.106 -0.028 -0.045
1.30 -2.3152  0.0794   3.676  4.230  4.335  4.345  4.359  4.362  4.262  4.236 -0.659 -0.105 -0.010 -0.024 -0.027  0.073  0.099    0.050    0.096    0.188    0.265    0.358    0.536    0.656    0.676  4.234  4.330  4.350  4.360 -0.096 -0.020 -0.030
1.30 -2.3152  0.0891   3.755  4.286  4.381  4.385  4.389  4.375  4.264  4.237 -0.626 -0.094 -0.004 -0.009  0.006  0.117  0.144    0.054    0.101    0.195    0.274    0.366    0.540    0.654    0.672  4.291  4.376  4.388  4.391 -0.086 -0.012 -0.015
1.30 -2.3152  0.1000   3.848  4.358  4.442  4.440  4.436  4.408  4.290  4.261 -0.594 -0.084  0.001  0.006  0.034  0.152  0.181    0.058    0.108    0.206    0.287    0.380    0.554    0.666    0.685  4.362  4.438  4.442  4.439 -0.076 -0.004 -0.001
1.30 -2.3152  0.1122   3.925  4.413  4.484  4.474  4.459  4.410  4.278  4.247 -0.559 -0.071  0.010  0.025  0.075  0.206  0.237    0.062    0.113    0.213    0.294    0.386    0.552    0.656    0.673  4.417  4.481  4.474  4.463 -0.064  0.007  0.018
1.30 -2.3152  0.1259   4.000  4.467  4.526  4.507  4.479  4.407  4.260  4.227 -0.526 -0.059  0.019  0.047  0.119  0.266  0.299    0.066    0.118    0.220    0.302    0.391    0.548    0.641    0.656  4.471  4.524  4.505  4.485 -0.052  0.019  0.039
1.30 -2.3152  0.1413   4.088  4.530  4.577  4.551  4.513  4.424  4.264  4.229 -0.489 -0.047  0.026  0.064  0.153  0.313  0.348    0.071    0.124    0.229    0.312    0.402    0.553    0.641    0.654  4.534  4.575  4.546  4.519 -0.041  0.029  0.056
1.30 -2.3152  0.1585   4.096  4.381  4.086  3.776  3.418  2.855  2.316  2.198  0.010  0.295  0.310  0.668  1.232  1.770  1.888    0.072    0.108    0.145    0.152    0.146    0.130    0.106    0.100  4.404  4.095  3.714  3.446  0.309  0.381  0.649
1.30 -2.3152  0.1778   4.178  4.432  4.119  3.800  3.433  2.860  2.316  2.196  0.059  0.313  0.319  0.686  1.259  1.803  1.924    0.077    0.112    0.149    0.155    0.147    0.130    0.106    0.100  4.456  4.128  3.736  3.461  0.328  0.393  0.668
1.30 -2.3152  0.1995   4.259  4.485  4.154  3.825  3.449  2.866  2.316  2.195  0.105  0.331  0.329  0.705  1.288  1.838  1.959    0.082    0.117    0.153    0.158    0.149    0.130    0.105    0.099  4.510  4.164  3.759  3.478  0.346  0.405  0.686
1.30 -2.3152  0.2239   4.344  4.543  4.193  3.853  3.469  2.875  2.319  2.196  0.151  0.350  0.339  0.724  1.317  1.874  1.997    0.089    0.123    0.158    0.161    0.151    0.130    0.105    0.099  4.568  4.203  3.786  3.497  0.365  0.417  0.705
1.30 -2.3152  0.2512   4.429  4.602  4.234  3.884  3.491  2.887  2.324  2.199  0.196  0.368  0.349  0.743  1.346  1.909  2.034    0.095    0.129    0.163    0.165    0.153    0.131    0.105    0.099  4.628  4.244  3.816  3.520  0.384  0.429  0.724
1.30 -2.3152  0.2818   4.535  4.681  4.289  3.927  3.522  2.906  2.335  2.208  0.246  0.392  0.362  0.767  1.383  1.954  2.081    0.104    0.138    0.171    0.171    0.157    0.133    0.105    0.099  4.709  4.300  3.856  3.552  0.409  0.444  0.749
1.30 -2.3152  0.3162   4.632  4.767  4.394  4.047  3.653  3.049  2.485  2.359  0.238  0.373  0.348  0.741  1.346  1.909  2.035    0.114    0.149    0.187    0.190    0.176    0.151    0.120    0.113  4.793  4.405  3.978  3.682  0.388  0.427  0.723
