,place,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
place,0.0,24.0,24.5,12.5,16.5,18.0,23.5,1.5,20.0,39.0,7.0,26.5,34.0,41.0,44.0,46.0,21.5
speed,24.0,0.0,10.0,6.5,0.0,0.0,0.0,0.0,6.0,5.5,2.0,11.5,6.5,6.0,4.0,4.5,6.0
bodydirection,24.5,10.0,0.0,0.0,6.5,10.5,11.5,1.0,6.0,10.0,0.5,10.5,5.0,7.5,8.0,7.0,6.0
headdirection,12.5,6.5,9.0,0.0,2.5,3.0,5.0,0.0,4.5,2.0,0.0,3.0,1.0,2.0,2.5,3.0,5.5
rest,16.5,59.0,6.5,2.5,0.0,8.0,20.0,0.0,3.5,7.5,1.0,9.0,2.0,4.5,3.5,6.0,4.0
walk,18.0,27.0,9.5,3.0,6.0,0.0,20.5,0.0,5.5,15.5,2.0,15.5,5.0,8.5,3.5,7.5,1.5
locomotion,23.5,83.0,11.5,8.0,20.0,27.5,0.0,2.0,7.5,12.5,3.0,13.5,6.0,9.5,6.0,4.0,4.5
freezing,1.5,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
rear,8.0,6.0,6.0,5.5,3.5,7.5,6.5,0.0,0.0,4.5,2.5,3.0,2.0,2.5,5.5,6.5,5.0
corners,0.0,12.5,10.0,2.0,7.5,15.5,12.5,0.0,15.5,0.0,6.0,22.5,6.5,8.0,6.0,7.0,5.0
walls,0.0,2.0,0.5,0.0,1.0,7.0,3.0,0.0,2.5,3.0,0.0,2.0,1.0,2.5,2.0,1.5,3.0
center,13.5,11.5,10.5,3.0,9.0,15.5,13.5,1.0,19.0,32.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0
object1,0.0,6.5,5.0,1.0,2.0,5.0,6.0,0.0,2.0,6.5,1.0,14.0,0.0,4.5,5.0,6.0,12.0
object2,0.0,8.0,7.5,2.0,4.5,12.5,9.5,0.5,2.5,8.0,2.5,18.0,4.5,0.0,2.5,5.0,11.0
object3,0.0,8.0,8.0,2.5,3.5,10.5,6.0,0.0,5.5,6.0,2.0,17.0,5.0,2.5,0.0,7.0,14.0
object4,0.0,8.5,7.0,10.0,6.0,7.5,5.0,0.0,6.5,7.0,1.5,17.0,6.0,5.0,7.0,0.0,18.0
objects,5.5,6.0,6.0,7.5,4.0,5.5,4.5,0.0,5.0,5.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0
