,place,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
place,0.0,48.0,49.0,25.0,33.0,36.0,47.0,3.0,28.0,39.0,7.0,40.0,34.0,41.0,44.0,46.0,27.0
speed,48.0,0.0,20.0,13.0,59.0,27.0,83.0,2.0,12.0,18.0,4.0,23.0,13.0,14.0,12.0,13.0,12.0
bodydirection,49.0,20.0,0.0,9.0,13.0,20.0,23.0,2.0,12.0,20.0,1.0,21.0,10.0,15.0,16.0,14.0,12.0
headdirection,25.0,13.0,9.0,0.0,5.0,6.0,13.0,0.0,10.0,4.0,0.0,6.0,2.0,4.0,5.0,13.0,13.0
rest,33.0,59.0,13.0,5.0,0.0,14.0,40.0,1.0,7.0,15.0,2.0,18.0,4.0,9.0,7.0,12.0,8.0
walk,36.0,27.0,20.0,6.0,14.0,0.0,48.0,0.0,13.0,31.0,9.0,31.0,10.0,21.0,14.0,15.0,7.0
locomotion,47.0,83.0,23.0,13.0,40.0,48.0,0.0,2.0,14.0,25.0,6.0,27.0,12.0,19.0,12.0,9.0,9.0
freezing,3.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
rear,28.0,12.0,12.0,10.0,7.0,13.0,14.0,0.0,0.0,20.0,5.0,22.0,4.0,5.0,11.0,13.0,10.0
corners,39.0,18.0,20.0,4.0,15.0,31.0,25.0,0.0,20.0,0.0,9.0,55.0,13.0,16.0,12.0,14.0,10.0
walls,7.0,4.0,1.0,0.0,2.0,9.0,6.0,0.0,5.0,9.0,0.0,16.0,2.0,5.0,4.0,3.0,6.0
center,40.0,23.0,21.0,6.0,18.0,31.0,27.0,2.0,22.0,55.0,16.0,0.0,14.0,18.0,17.0,17.0,19.0
object1,34.0,13.0,10.0,2.0,4.0,10.0,12.0,0.0,4.0,13.0,2.0,14.0,0.0,9.0,10.0,12.0,12.0
object2,41.0,14.0,15.0,4.0,9.0,21.0,19.0,1.0,5.0,16.0,5.0,18.0,9.0,0.0,5.0,10.0,11.0
object3,44.0,12.0,16.0,5.0,7.0,14.0,12.0,0.0,11.0,12.0,4.0,17.0,10.0,5.0,0.0,14.0,14.0
object4,46.0,13.0,14.0,13.0,12.0,15.0,9.0,0.0,13.0,14.0,3.0,17.0,12.0,10.0,14.0,0.0,18.0
objects,27.0,12.0,12.0,13.0,8.0,7.0,9.0,0.0,10.0,10.0,6.0,19.0,12.0,11.0,14.0,18.0,0.0
