,place,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
place,0.0,12.0,45.0,22.0,6.0,17.0,34.0,1.0,31.0,12.0,3.0,26.0,25.0,32.0,36.0,39.0,26.0
speed,12.0,0.0,0.0,2.0,10.0,7.0,29.0,1.0,13.0,5.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0
bodydirection,45.0,0.0,0.0,6.0,1.0,13.0,8.0,0.0,11.0,7.0,1.0,16.0,17.0,7.0,16.0,14.0,12.0
headdirection,22.0,2.0,6.0,0.0,2.0,3.0,7.0,0.0,5.0,4.0,2.0,6.0,4.0,8.0,3.0,8.0,5.0
rest,6.0,10.0,1.0,2.0,0.0,7.0,10.0,0.0,6.0,6.0,2.0,7.0,0.0,1.0,1.0,5.0,5.0
walk,17.0,7.0,13.0,3.0,7.0,0.0,37.0,1.0,17.0,12.0,5.0,27.0,6.0,10.0,16.0,12.0,21.0
locomotion,34.0,29.0,8.0,7.0,10.0,37.0,0.0,0.0,28.0,12.0,3.0,17.0,7.0,8.0,9.0,18.0,13.0
freezing,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rear,31.0,13.0,11.0,5.0,6.0,17.0,28.0,0.0,0.0,16.0,2.0,20.0,8.0,5.0,8.0,15.0,14.0
corners,12.0,5.0,7.0,4.0,6.0,12.0,12.0,0.0,16.0,0.0,2.0,30.0,4.0,10.0,5.0,12.0,17.0
walls,3.0,0.0,1.0,2.0,2.0,5.0,3.0,0.0,2.0,2.0,0.0,9.0,0.0,4.0,2.0,2.0,4.0
center,26.0,2.0,16.0,6.0,7.0,27.0,17.0,0.0,20.0,30.0,9.0,0.0,10.0,22.0,15.0,18.0,42.0
object1,25.0,2.0,17.0,4.0,0.0,6.0,7.0,0.0,8.0,4.0,0.0,10.0,0.0,2.0,11.0,6.0,15.0
object2,32.0,2.0,7.0,8.0,1.0,10.0,8.0,0.0,5.0,10.0,4.0,22.0,2.0,0.0,10.0,14.0,33.0
object3,36.0,3.0,16.0,3.0,1.0,16.0,9.0,0.0,8.0,5.0,2.0,15.0,11.0,10.0,0.0,14.0,23.0
object4,39.0,4.0,14.0,8.0,5.0,12.0,18.0,0.0,15.0,12.0,2.0,18.0,6.0,14.0,14.0,0.0,24.0
objects,26.0,4.0,12.0,5.0,5.0,21.0,13.0,0.0,14.0,17.0,4.0,42.0,15.0,33.0,23.0,24.0,0.0
