building_category,building_code,purpose,kwh_m2
apartment_block,PRE_TEK49,cooling,0
apartment_block,PRE_TEK49,electrical_equipment,17.52
apartment_block,PRE_TEK49,fans_and_pumps,0.578888889
apartment_block,PRE_TEK49,heating_dhw,29.76888889
apartment_block,PRE_TEK49,heating_rv,126.7397389
apartment_block,default,lighting,8.1968
apartment_block,TEK07,cooling,0
apartment_block,TEK07,electrical_equipment,17.52
apartment_block,TEK07,fans_and_pumps,9.455555556
apartment_block,TEK07,heating_dhw,29.76888889
apartment_block,TEK07,heating_rv,39.52794605
apartment_block,TEK10,cooling,0
apartment_block,TEK10,electrical_equipment,17.52
apartment_block,TEK10,fans_and_pumps,9.323177778
apartment_block,TEK10,heating_dhw,29.76888889
apartment_block,TEK10,heating_rv,38.9745548
apartment_block,TEK17,cooling,0
apartment_block,TEK17,electrical_equipment,17.52
apartment_block,TEK17,fans_and_pumps,7.566666667
apartment_block,TEK17,heating_dhw,29.76888889
apartment_block,TEK17,heating_rv,28.84117055
apartment_block,TEK49,cooling,0
apartment_block,TEK49,electrical_equipment,17.52
apartment_block,TEK49,fans_and_pumps,0.578888889
apartment_block,TEK49,heating_dhw,29.76888889
apartment_block,TEK49,heating_rv,126.7397389
apartment_block,TEK69,cooling,0
apartment_block,TEK69,electrical_equipment,17.52
apartment_block,TEK69,fans_and_pumps,0.578888889
apartment_block,TEK69,heating_dhw,29.76888889
apartment_block,TEK69,heating_rv,126.7397389
apartment_block,TEK87,cooling,0
apartment_block,TEK87,electrical_equipment,17.52
apartment_block,TEK87,fans_and_pumps,0.53
apartment_block,TEK87,heating_dhw,29.76888889
apartment_block,TEK87,heating_rv,103.5833854
apartment_block,TEK97,cooling,0
apartment_block,TEK97,electrical_equipment,17.52
apartment_block,TEK97,fans_and_pumps,0.433333333
apartment_block,TEK97,heating_dhw,29.76888889
apartment_block,TEK97,heating_rv,77.67867177
culture,PRE_TEK49,cooling,20.7325
culture,PRE_TEK49,electrical_equipment,2.870833333
culture,PRE_TEK49,fans_and_pumps,38.625
