input_token,cat,dog,lay,mat,on,rug,sat,the
cat|cat,0,0,0,0,0,0,0,0
cat|dog,0,0,0,0,0,0,0,0
cat|lay,-0.3769,-0.3769,-0.3769,-0.3769,2.6381,-0.3769,-0.3769,-0.3769
cat|mat,0,0,0,0,0,0,0,0
cat|on,0,0,0,0,0,0,0,0
cat|rug,0,0,0,0,0,0,0,0
cat|sat,-0.3769,-0.3769,-0.3769,-0.3769,2.6381,-0.3769,-0.3769,-0.3769
cat|the,0,0,0,0,0,0,0,0
dog|cat,0,0,0,0,0,0,0,0
dog|dog,0,0,0,0,0,0,0,0
dog|lay,-0.3769,-0.3769,-0.3769,-0.3769,2.6381,-0.3769,-0.3769,-0.3769
dog|mat,0,0,0,0,0,0,0,0
dog|on,0,0,0,0,0,0,0,0
dog|rug,0,0,0,0,0,0,0,0
dog|sat,-0.3769,-0.3769,-0.3769,-0.3769,2.6381,-0.3769,-0.3769,-0.3769
dog|the,0,0,0,0,0,0,0,0
lay|cat,0,0,0,0,0,0,0,0
lay|dog,0,0,0,0,0,0,0,0
lay|lay,0,0,0,0,0,0,0,0
lay|mat,0,0,0,0,0,0,0,0
lay|on,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,3.4888
lay|rug,0,0,0,0,0,0,0,0
lay|sat,0,0,0,0,0,0,0,0
lay|the,0,0,0,0,0,0,0,0
mat|cat,0,0,0,0,0,0,0,0
mat|dog,0,0,0,0,0,0,0,0
mat|lay,0,0,0,0,0,0,0,0
mat|mat,0,0,0,0,0,0,0,0
mat|on,0,0,0,0,0,0,0,0
mat|rug,0,0,0,0,0,0,0,0
mat|sat,0,0,0,0,0,0,0,0
mat|the,-0.3769,2.6381,-0.3769,-0.3769,-0.3769,-0.3769,-0.3769,-0.3769
on|cat,0,0,0,0,0,0,0,0
on|dog,0,0,0,0,0,0,0,0
on|lay,0,0,0,0,0,0,0,0
on|mat,0,0,0,0,0,0,0,0
on|on,0,0,0,0,0,0,0,0
on|rug,0,0,0,0,0,0,0,0
on|sat,0,0,0,0,0,0,0,0
on|the,-0.8577,-0.8577,-0.8577,2.5743,-0.8577,2.5719,-0.8577,-0.8577
rug|cat,0,0,0,0,0,0,0,0
rug|dog,0,0,0,0,0,0,0,0
rug|lay,0,0,0,0,0,0,0,0
rug|mat,0,0,0,0,0,0,0,0
rug|on,0,0,0,0,0,0,0,0
rug|rug,0,0,0,0,0,0,0,0
rug|sat,0,0,0,0,0,0,0,0
rug|the,1.9198,1.9686,-0.6481,-0.6481,-0.6481,-0.6481,-0.6481,-0.6481
sat|cat,0,0,0,0,0,0,0,0
sat|dog,0,0,0,0,0,0,0,0
sat|lay,0,0,0,0,0,0,0,0
sat|mat,0,0,0,0,0,0,0,0
sat|on,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,3.4888
sat|rug,0,0,0,0,0,0,0,0
sat|sat,0,0,0,0,0,0,0,0
sat|the,0,0,0,0,0,0,0,0
the|cat,-0.6481,-0.6481,1.9686,-0.6481,-0.6481,-0.6481,1.9198,-0.6481
the|dog,-0.6481,-0.6481,1.9686,-0.6481,-0.6481,-0.6481,1.9198,-0.6481
the|lay,0,0,0,0,0,0,0,0
the|mat,-0.3769,-0.3769,-0.3769,-0.3769,-0.3769,-0.3769,-0.3769,2.6381
the|on,0,0,0,0,0,0,0,0
the|rug,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,-0.4984,3.4888
the|sat,0,0,0,0,0,0,0,0
the|the,0,0,0,0,0,0,0,0
