row ID,remove_ss,label
1-hydroxycyclopentanecarboxylic_acid,[#8]-[#6](=O)!@-C1(!@-[#8;D1])[#6]-[#6]-[#6]-[#6]1,3
1-methyl-1H-imidazol-1-ium,"[#6,#7,#8,#16]!@-[#7+]1[#6,#7]=,:[#7,#6][#6,#7]=,:[#6,#7]1",1
123-trimethylimidazolidine,[#6]!@-[#6;D3]-1-[#7](!@-[#6])-[#6]-[#6]-[#7]-1!@-[#6],2
12345-pentafluorobenzene,Fc1cc(F)c(F)c(F)c1F,1
1245-tetrafluoro-3-trifluoromethylbenzene,Fc1cc(F)c(F)c(c1F)C(F)(F)F,1
13-dithiolane,[#6]-1-[#6]-[#16]-[#6]-[#16]-1,2
14-dihydroimidazol-5-one,"[#8,#16,#7]=[#6]-1[#7][#6,#7]=,:[#7,#6]-[#6]-1",3
14-dihydropyridine,"[#6]!@-[#6;D3]-1-[#6]=,:[#6][#7][#6]=,:[#6]-1",3
1H-pyridine-2-thione,"S=[#6]1[#6]=,:[#6][#6]=,:[#6][#7]1",2
2-methyl-2H-furan-5-one,"[#6]!@-[#6;D3]-1-[#6]=,:[#6][#6](=[#8,#16,#7])[#8,#16]-1",3
2-methylenethiophen-3-one,"[#8,#16,#7]=[#6]1[#6]=,:[#6][#16,#8,#7][#6]1!@=[#6,#7]",1
2-methyltetrahydropyran,"[#6]!@-[#6;D3]-1-[#6]~[#6,#7,#8,#16]-[#6]-[#6]-[#8,#16,#7]-1",3
2-methylthiazolidin-4-one,"[#6]!@-[#6;D3]-1-[#7]-[#6](=[#8,#16])-[#6]-[#16,#8,#7]-1",2
2-methylthiazolidine,[#6]!@-[#6;D3]-1-[#7]-[#6]-[#6]-[#16]-1,2
23-dimethyl-34-dihydropyrazole,"[#6]!@-[#7]-1[#7]=,:[#6][#6]-[#6;D3]-1!@-[#6]",3
234-trichlorofuran,"[#17,#9,#35,#53]-[#6]1=,:[#6][#8,#16,#7][#6](-[#17,#9,#35,#53])=,:[#6]1-[#17,#9,#35,#53]",1
3-methyl-2345-tetrahydro-124-triazine,"[#6]!@-[#6;D3]-1-[#7][#7,#6]=,:[#6,#7]-[#6]-[#7,#8,#16]-1",2
3-methylpiperidine,"[#6]!@-[#6;D3]-1-[#6]-[#6]~[#6]-[#7,#8,#16]-[#6]-1",3
3-methylpyrrolidine-25-dione,"[#6,#7,#8,#16]!@-[#6;D3]-1-[#6][#6](=[#8,#16])[#7][#6]-1=[#8,#16]",3
3-methylpyrrolidine,[#6]!@-[#6;D3]-1-[#6]-[#6]-[#7]-[#6]-1,3
3-methylthiolane_11-dioxide,[#6]!@-[#6;D3]-1-[#6]-[#6]S(=O)(=O)[#6]-1,3
3H-thiazole-2-thione,"S=[#6]1[#7][#6]=,:[#6][#16,#8,#7]1",2
4-iminocyclohexa-25-dien-1-one,"O=[#6]1[#6]=,:[#6][#6](=[#7,#8])[#6]=,:[#6]1",3
4-methylene-1H-pyrazol-5-one,"[#6]!@=[#6]1[#6]=,:[#7][#7][#6]1=O",1
4-methyleneisoxazol-5-one,"[#8,#16]=[#6]1[#8,#16,#7][#7,#6]=,:[#6,#7][#6]1!@=[#6,#7]",1
4-methyleneoxazol-5-one,"[#6]!@=[#6]1[#7]=,:[#6][#8,#16][#6]1=[#8,#16,#7]",1
4-methylpyrrolidin-2-one,"[#6,#7,#8,#16]!@-[#6;D3]-1-[#6][#7][#6](=[#8,#16])[#6]-1",3
4H-pyran,"[#6]=,:1[#8][#6]=,:[#6]-[#6]-[#6]=,:1",3
5-methyl-14-dihydropyrazol-5-ol,[#6]!@-C1(!@-[#8;D1])[#6]-[#6]=[#7]-[#7]1,2
5-methylthiazolidine-24-dione,"[#6]-[#6;D3]-1-[#16,#8,#7][#6](=[#8,#16])[#7][#6]-1=[#8,#16]",2
CCl3,Cl[#6](Cl)Cl,2
C_minus,[#6-],1
CdoublechCchCN,[#6]!@=[#6;D2]!@-C#N,2
CdoublechNchN,[#7]!@-[#7;D2]!@=[#6],2
CdoulechNchC,[#6]!@-[#7;D2]!@=[#6],2
N-hydroxyacetamidine,[#6]!@\[#6](!@-[#7])!@=[#7]!@\[#8],3
NHCdoubleS,[#7]-[#6]=S,2
NmethylPyridinium,"[#6,#7,#8,#16,#15]!@-[n+]1[#6,#7;a][#6,#7;a][#6,#7;a][#6,#7;a][#6,#7;a]1",1
R5_NplusMe,"[#6]!@-[#7+]=,:1[#6,#7,#8,#16]~[#6,#7,#8,#16]~[#6,#7,#8,#16]~[#6,#7]=,:1",1
SH,[#6]!@-[#16;D1],2
borane,[#5],2
but-2-ene,[#6]!@\[#6;D2]!@=[#6;D2]!@\[#6],3
carbonic_acid,"[#8,#16]-[#6](-[#8,#16])=[#8,#16]",2
chloroethylene,"[#17,#9,#35,#53]-[#6]!@=[#6]",2
ethylsulfanylethane,[#6]!@-[#6;D2]!@-[#16]!@-[#6;D2]!@-[#6],3
fulvene,[#6]!@=[#6]1[#6][#6][#6][#6]1,2
hydrazine,[#7;D2]!@-[#7],2
hydroxylamine,[#7]!@-[#8],2
nBu,[#6]!@-[#6;D2]!@-[#6;D2]!@-[#6],3
nitroethylene,[#8-]-[#7+](=O)!@-[#6]!@=[#6],1
oxazolidine-2-thione,"S=[#6]-1-[#7,#8,#16]-[#6]~[#6]-[#8,#16,#7]-1",2
oxidodioxo-lambda6-sulfane,[#8-]S(=O)=O,2
prop-1-ene,[#6]!@-[#6;D2]!@=[#6;D1],3
prop-2-enal,[#6]!@=[#6;D2]!@-[#6]=O,3
prop-2-enamide,"[#7]!@-[#6](=[#8,#16,#7])!@-[#6]!@=[#6]",3
prop-2-enenitrile,"[#6]!@=[#6]!@-C#[#7,#6]",2
silane,[#14],2
styrene,"[#6]!@=,!@:[#6;D2]!@[#6]=,:1[#6]=,:[#6][#6]=,:[#6][#6]=,:1",3
tetraoxa-hexadecazapentacyclo_octacosa-dodecaene,"[#6]1[#6][#7]=,:[#7][#6][#6][#7]=,:[#7][#6][#6][#7]=,:[#7][#6][#6][#7]=,:[#7]1",1
tetraoxapentacyclotetracosaoctaene,"[#8,#16,#7]1[#6]-[#6]-[#6][#8,#16,#7][#6]-[#6]-[#6][#8,#16,#7][#6]-[#6]-[#6][#8,#16,#7][#6]-[#6]-[#6]1",1
two_CN,C#N.C#N,1
two_NO2,[#8-]-[#7+]=O.[#8-]-[#7+]=O,1
1-carbamimidoyliminoguanidine,[#7]-[#6](=[#7])\[#7]=[#7]\[#6](-[#7])=[#7],1
12-dihydropyrimidine,"[#6,#7,#8,#16]!@-[#7]-1[#6,#7]=,:[#6,#7][#6,#7]=,:[#7,#6]-[#6]-1",2
13-benzoxathiole-2-thione,"[#16,#8]=[#6]1[#8,#16]c2[#6,#7;a][#6,#7;a][#6,#7;a][#6,#7;a]c2[#16,#8]1",2
13-dithiole-2-thione,"S=[#6]1[#16][#6]=,:[#6][#16]1",1
13-thiazine-6-thione,"[#16,#8]!@=[#6]1[#6]=,:[#6][#7]=,:[#6][#16]1",2
135-thiadiazinan-2-one,"[#8,#16,#7,#6]!@=[#6]1[#7]-[#6]-[#7,#8,#16,#6]-[#6]-[#16]1",2
135-thiadiazinan-2-one_2,"S!@=[#6]1[#7]-[#6]-[#7,#8,#16,#6]-[#6]-[#16,#8]1",2
14-dihydro-124-triazole-5-thione,"S!@=[#6]1[#7][#6]=,:[#7;D2][#7]1",2
15-dihydrotriazolo_21-a_triazole,"[#6]1=,:[#6][#7]2[#7-][#6]=,:[#6][#7+]2[#7]1",1
15-oxa-14-azatetracyclo_hexadeca-heptaen-10-one,"[#8,#16]=[#6]1[#6,#7]=,:[#6,#7][#6]2=,:[#7,#6][#8,#16,#7]c3=,:[#6]2c1[#6,#7;a]c1[#6,#7;a][#6,#7;a][#6,#7;a][#6,#7;a]c31",2
2-hydroxycyclohepta-246-trien-1-one,"[#8]!@-[#6]1=,:[#6][#6]=,:[#6][#6]=,:[#6][#6]1=O",2
2-methylenepropanedioic_acid,"[#8,#16]!@-[#6](=[#8,#16])!@-[#6](!@=[#6])!@-[#6](!@-[#8,#16])=[#8,#16]",2
22-difluoroacetamide,"[#7]!@-[#6](=[#8,#16])!@-[#6](F)F",2
2356-tetrabromopyridine,"[#35,#9,#17,#53]-c1cc(-[#35,#9,#17,#53])c(-[#35,#9,#17,#53])nc1-[#35,#9,#17,#53]",1
2356-tetrafluorophenol,[#8]!@-c1c(F)c(F)cc(F)c1F,1
2H-126-oxadiazin-5-one,"[#8,#16]=[#6]1[#6][#6][#7][#8,#16,#7][#7]1",2
3-aminocyclohex-2-en-1-one,"[#7,#6,#8,#16]!@-[#6]1=,:[#6;D2][#6](=[#8,#16])[#6;D2]-[#6;D2]-[#6;D2]1",3
3-chloro-2233-tetrafluoro-propanamide,"[#7,#6,#8,#16]!@-[#6](=[#8,#16])!@-C([#9,#17,#35,#53])([#9,#17,#35,#53])C([#9,#17,#35,#53])([#9,#17,#35,#53])[#17,#9,#35,#53]",1
3-hydroxyprop-2-enal,"[#8;D1]!@\[#6]!@=[#6]!@\[#6]!@=[#8,#16]",2
