ID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
BMS,,NREL Solar Radiation Research Laboratory - Baseline Measurement System,39.742,-105.18,1828.8,UTC-06:00,Denver West Parkway,,Colorado,United States,,,,Cfa,,1M,,,,1981-07-15,,1981-07-15,,
#LMU,,SOLRMAP Loyola Marymount University (RSR),33.966674,-118.4226,27,UTC-07:00,Kiyot Way,Los Angeles,California,United States,,,,,,1M,,,,2010-04-06,2016-05-05,2010-04-06,2016-05-05,
NWTC,,NREL Flatirons Campus (M2),39.9106,-105.2347,1855,UTC-06:00,West 119th Avenue,,Colorado,United States,,,,Cfa,,1M,,,,1996-09-23,,1996-09-23,,
STAC,,Solar Technology Acceleration Center (SolarTAC),39.75685,-104.62025,1674,UTC-06:00,Hudson Mile Road,Aurora,Colorado,United States,,,,BSk,,1M,,,,2011-02-11,,2011-02-11,,
UAT,,SOLRMAP University of Arizona (OASIS),32.22969,-110.95534,786,UTC-07:00,4th Street,Tucson,Arizona,United States,,,,BSh,,1M,,,,2010-11-03,,2010-11-03,,
ULL,,University of Louisiana at Lafayette,30.20506,-92.39793,5,UTC-05:00,"2008, West Hutchinson Avenue",Crowley,Louisiana,United States,,,,Cfa,,1M,,,,2018-08-28,,2018-08-28,,
UOSMRL,,University of Oregon (SRML),44.0467,-123.0743,133.8,UTC-07:00,Onyx Street,Eugene,Oregon,United States,,,,Csb,,1M,,,,2016-08-19,,2016-08-19,,
VTIF,,NREL Vehicle Testing and Integration Facility RSR,39.74211,-105.17572,1793,UTC-06:00,Denver West Parkway,,Colorado,United States,,,,Cfa,,1M,,,,2012-04-01,2020-07-18,2012-04-01,2020-07-18,
#SSSCAT,,SOLRMAP Southwest Solar Research Park,33.41663,-112.01875,347,UTC-07:00,"3555, South 28th Street",Phoenix,Arizona,United States,,,,BWh,,1M,,,,2010-09-27,2013-08-02,2010-09-27,2013-08-02,
#LANAI,,SOLRMAP La Ola Lanai (RSR),20.76685,-156.92291,381,UTC-10:00,Miki Road,Lanai City,Hawaii,United States,,,,Aw,,1M,,,,2009-07-22,2012-12-14,2009-07-22,2012-12-14,
#OAHURS1M,,SOLRMAP Kalaeloa Oahu (RSR),21.31347,-158.08257,11,UTC-10:00,Midway Street,Kapolei,Hawaii,United States,,,,BSh,,1M,,,,2010-03-16,2011-11-01,2010-03-16,2011-11-01,
