id,code,name,lastupdated,concepts
1,DBS,Doing Business,2021-08-18,3
2,WDI,World Development Indicators,2025-12-19,3
3,WGI,Worldwide Governance Indicators,2024-11-05,3
5,SNM,Subnational Malnutrition Database,2016-03-21,3
6,IDS,International Debt Statistics,2025-12-03,4
11,ADI,Africa Development Indicators,2013-02-22,3
12,EDS,Education Statistics,2024-06-25,3
13,ESY,Enterprise Surveys,2022-03-25,3
14,GDS,Gender Statistics,2025-11-11,3
15,GEM,Global Economic Monitor,2025-12-17,3
16,HNP,Health Nutrition and Population Statistics,2025-12-18,3
18,IDA,IDA Results Measurement System,2021-07-23,3
19,MDG,Millennium Development Goals,2018-09-19,3
20,PSD,Quarterly Public Sector Debt,2025-10-29,3
22,QDS,Quarterly External Debt Statistics SDDS,2025-10-31,3
23,QDG,Quarterly External Debt Statistics GDDS,2025-10-31,3
25,JOB,Jobs,2025-07-01,3
27,GEP,Global Economic Prospects,2025-06-10,3
28,FDX,Global Findex database,2025-10-06,3
29,GSP,The Atlas of Social Protection: Indicators of Resilience and Equity,2025-08-25,3
30,ED1,Exporter Dynamics Database – Indicators at Country-Year Level,2016-03-31,3
31,CPI,Country Policy and Institutional Assessment,2025-07-12,3
32,GFD,Global Financial Development,2022-09-23,3
33,G2F,G20 Financial Inclusion Indicators,2019-02-27,3
34,GPE,Global Partnership for Education,2013-04-12,3
35,SE4,Sustainable Energy for All,2018-06-30,3
37,LEL,LAC Equity Lab,2016-04-06,3
38,SNP,Subnational Poverty,2015-04-27,3
39,HNQ,Health Nutrition and Population Statistics by Wealth Quintile,2022-12-13,3
40,HPP,Population estimates and projections,2025-12-18,3
41,CPS,Country Partnership Strategy for India (FY2013 - 17),2015-05-22,3
43,WAT,Adjusted Net Savings,2023-06-08,3
45,IDD,Indonesia Database for Policy and Economic Research,2022-08-11,3
46,SDG,Sustainable Development Goals ,2022-07-22,3
50,SNT,Subnational Population,2017-09-21,3
54,JED,Joint External Debt Hub,2025-10-27,3
57,WDA,WDI Database Archives,2025-10-29,4
58,UHC,Universal Health Coverage,2019-04-25,3
59,WAC,Wealth Accounts,2024-10-08,3
60,EFT,Economic Fitness,2018-04-19,3
61,PRQ,PPPs Regulatory Quality,2019-04-25,3
62,ICP,International Comparison Program (ICP) 2011,2020-08-24,4
63,HCI,Human Capital Index,2020-09-21,3
64,WBI,Worldwide Bureaucracy Indicators,2025-02-24,3
65,HPI,Health Equity and Financial Protection Indicators,2019-11-06,3
66,LPI,Logistics Performance Index,2024-03-26,3
67,PF1,PEFA 2011,2025-06-26,4
68,PF6,PEFA 2016,2025-12-24,4
69,RFA,Global Financial Inclusion and Consumer Protection Survey,2019-06-27,3
70,EF2,Economic Fitness 2,2024-11-30,3
71,IC5,International Comparison Program (ICP) 2005,2021-09-10,4
73,RFI,Global Financial Inclusion and Consumer Protection Survey (Internal),2019-06-27,3
75,ESG,"Environment, Social and Governance (ESG) Data",2025-07-30,3
76,RWS,Remittance Prices Worldwide (Sending Countries),2020-12-07,3
77,RWR,Remittance Prices Worldwide (Receiving Countries),2020-12-07,3
78,IC7,ICP 2017,2020-10-21,4
79,GRP,PEFA_GRPFM,2025-11-17,4
80,GDL,Gender Disaggregated Labor Database (GDLD),2020-07-25,4
81,DSI, International Debt Statistics: DSSI,2025-12-03,4
82,GPP,Global Public Procurement,2021-03-24,3
83,SPI,Statistical Performance Indicators (SPI),2024-11-11,3
84,EDP,Education Policy,2024-10-03,3
85,SNG,PEFA_2021_SNG,2025-12-22,4
86,JON,Global Jobs Indicators Database (JOIN),2023-05-22,3
87,CCD,Country Climate and Development Report (CCDR),2022-10-07,3
88,FPN,Food Prices for Nutrition,2025-12-18,4
89,ID4,Identification for Development (ID4D) Data,2025-10-27,3
90,IC2,ICP 2021,2024-08-04,4
91,CRP,PEFA_CRPFM,2025-12-03,4
92,DDH,Disability Data Hub (DDH),2025-03-28,3
93,FPA,FPN Datahub Archive,2025-12-18,4
