P      T      vL       vV        uL     Du     uV      hL     Dh     hV     sL     Ds     sV
 0.100  99.63 0.001043 1.6940    417.36 2088.7 2506.1  417.46 2258.0 2675.5 1.3026 6.0568 7.3594
 0.125 105.99 0.001048 1.3749    444.19 2069.3 2513.5  444.32 2241.0 2685.4 1.3740 5.9104 7.2844
 0.150 111.37 0.001053 1.1593    466.94 2052.7 2519.7  467.11 2226.5 2693.6 1.4336 5.7897 7.2233
 0.175 116.06 0.001057 1.0036    486.80 2038.1 2524.9  486.99 2213.6 2700.6 1.4849 5.6868 7.1717
 0.200 120.23 0.001061 0.8857    504.49 2025.0 2529.5  504.70 2201.9 2706.7 1.5301 5.5970 7.1271
 0.225 124.00 0.001064 0.7933    520.47 2013.1 2533.6  520.72 2191.3 2712.1 1.5706 5.5173 7.0878
 0.250 127.44 0.001067 0.7187    535.10 2002.1 2537.2  535.37 2181.5 2716.9 1.6072 5.4455 7.0527
 0.275 130.60 0.001070 0.6573    548.59 1991.9 2540.5  548.89 2172.4 2721.3 1.6408 5.3801 7.0209
 0.300 133.55 0.001073 0.6058    561.15 1982.4 2543.6  561.47 2163.8 2725.3 1.6718 5.3201 6.9919
 0.325 136.30 0.001076 0.5620    572.90 1973.5 2546.4  573.25 2155.8 2729.0 1.7006 5.2646 6.9652
 0.350 138.88 0.001079 0.5243    583.95 1965.0 2548.9  584.33 2148.1 2732.4 1.7275 5.2130 6.9405
 0.375 141.32 0.001081 0.4914    594.40 1956.9 2551.3  594.81 2140.8 2735.6 1.7528 5.1647 6.9175
 0.40  143.63 0.001084 0.4625    604.31 1949.3 2553.6  604.74 2133.8 2738.6 1.7766 5.1193 6.8959
 0.45  147.93 0.001088 0.4140    622.77 1934.9 2557.6  623.25 2120.7 2743.9 1.8207 5.0359 6.8565
 0.50  151.86 0.001093 0.3749    639.68 1921.6 2561.2  640.23 2108.5 2748.7 1.8607 4.9606 6.8213
 0.55  155.48 0.001097 0.3427    655.32 1909.2 2564.5  655.93 2097.0 2753.0 1.8973 4.8920 6.7893
 0.60  158.85 0.001101 0.3157    669.90 1897.5 2567.4  670.56 2086.3 2756.8 1.9312 4.8288 6.7600
 0.65  162.01 0.001104 0.2927    683.56 1886.5 2570.1  684.28 2076.0 2760.3 1.9627 4.7703 6.7331
 0.70  164.97 0.001108 0.2729    696.44 1876.1 2572.5  697.22 2066.3 2763.5 1.9922 4.7158 6.7080
 0.75  167.78 0.001112 0.2556    708.64 1866.1 2574.7  709.47 2057.0 2766.4 2.0200 4.6647 6.6847
 0.80  170.43 0.001115 0.2404    720.22 1856.6 2576.8  721.11 2048.0 2769.1 2.0462 4.6166 6.6628
 0.85  172.96 0.001118 0.2270    731.27 1847.4 2578.7  732.22 2039.4 2771.6 2.0710 4.5711 6.6421
 0.90  175.38 0.001121 0.2150    741.83 1838.6 2580.5  742.83 2031.1 2773.9 2.0946 4.5280 6.6226
 0.95  177.69 0.001124 0.2042    751.95 1830.2 2582.1  753.02 2023.1 2776.1 2.1172 4.4869 6.6041
 1.00  179.91 0.001127 0.19444   761.68 1822.0 2583.6  762.81 2015.3 2778.1 2.1387 4.4478 6.5865
 1.10  184.09 0.001133 0.17753   780.09 1806.3 2586.4  781.34 2000.4 2781.7 2.1792 4.3744 6.5536
 1.20  187.99 0.001139 0.16333   797.29 1791.5 2588.8  798.65 1986.2 2784.8 2.2166 4.3067 6.5233
 1.30  191.64 0.001144 0.15125   813.44 1777.5 2591.0  814.93 1972.7 2787.6 2.2515 4.2438 6.4953
 1.40  195.07 0.001149 0.14084   828.70 1764.1 2592.8  830.30 1959.7 2790.6 2.2842 4.1850 6.4693
 1.50  198.32 0.001154 0.13177   843.16 1751.3 2594.5  844.89 1947.3 2792.2 2.3150 4.1298 6.4448
 1.75  205.76 0.001166 0.11349   876.46 1721.4 2597.8  878.50 1917.9 2796.4 2.3851 4.0044 6.3896
 2.00  212.42 0.001177 0.09963   906.44 1693.8 2600.3  908.79 1890.7 2799.5 2.4474 3.8935 6.3409
 2.25  218.45 0.001187 0.08875   933.83 1668.2 2602.0  936.49 1865.2 2801.7 2.5035 3.7937 6.2972
 2.5   223.99 0.001197 0.07998   959.11 1644.0 2603.1  962.11 1841.0 2803.1 2.5547 3.7028 6.2575
 3.00  233.90 0.001217 0.06668  1004.78 1599.3 2604.1 1008.42 1795.7 2804.2 2.6457 3.5412 6.1869
 3.5   242.60 0.001235 0.05707  1045.43 1558.3 2603.7 1049.75 1753.7 2803.4 2.7253 3.4000 6.1253
 4     250.40 0.001252 0.04978  1082.31 1520.0 2602.3 1087.31 1714.1 2801.4 2.7964 3.2737 6.0701
 5     263.99 0.001286 0.03944  1147.81 1449.3 2597.1 1154.23 1640.1 2794.3 2.9202 3.0532 5.9734
 6     275.64 0.001319 0.03244  1205.44 1384.3 2589.7 1213.35 1571.0 2784.3 3.0267 2.8625 5.8892
 7     285.88 0.001351 0.02737  1257.55 1323.0 2580.5 1267.00 1505.1 2772.1 3.1211 2.6922 5.8133
 8     295.06 0.001384 0.02352  1305.57 1264.2 2569.8 1316.64 1441.3 2758.0 3.2068 2.5364 5.7432
 9     303.40 0.001418 0.02048  1350.51 1207.3 2557.8 1363.26 1378.9 2742.1 3.2858 2.3915 5.6772
10     311.06 0.001452 0.018026 1393.04 1151.4 2544.4 1407.56 1317.1 2724.7 3.3596 2.2544 5.6141
11     318.15 0.001489 0.015987 1433.7  1096.0 2529.8 1450.1  1255.5 2705.6 3.4295 2.1233 5.5527
12     324.75 0.001527 0.014263 1473.0  1040.7 2513.7 1491.3  1193.6 2684.9 3.4962 1.9962 5.4924
13     330.93 0.001567 0.012780 1511.1   985.0 2496.1 1531.5  1130.7 2662.2 3.5606 1.8718 5.4323
14     336.75 0.001611 0.011485 1548.6   928.2 2476.8 1571.1  1066.5 2637.6 3.6232 1.7485 5.3717
15     342.24 0.001658 0.010337 1585.6   869.8 2455.5 1610.5  1000.0 2610.5 3.6848 1.6249 5.3098
16     347.44 0.001711 0.009306 1622.7   809.0 2431.7 1650.1   930.6 2580.6 3.7461 1.4994 5.2455
17     352.37 0.001770 0.008364 1660.2   744.8 2405.0 1690.3   856.9 2547.2 3.8079 1.3698 5.1777
18     357.06 0.001840 0.007489 1698.9   675.4 2374.3 1732.0   777.1 2509.1 3.8715 1.2329 5.1044
19     361.54 0.001924 0.006657 1739.9   598.1 2338.1 1776.5   688.0 2464.5 3.9388 1.0839 5.0228
20     365.81 0.002036 0.005834 1785.6   507.5 2293.0 1826.3   583.4 2409.7 4.0139 0.9130 4.9269
21     369.89 0.002207 0.004952 1842.1   388.5 2230.6 1888.4   446.2 2334.6 4.1075 0.6938 4.8013
22     373.80 0.002742 0.003568 1961.9   125.2 2087.1 2022.2   143.4 2165.6 4.3110 0.2216 4.5327
22.09  374.14 0.003155 0.003155 2029.6     0.0 2029.6 2099.3     0.0 2099.3 4.4298 0.0    4.4298
