,Limit_effort,Limit_lower,Limit_upper,Limit_velocity,Axis_x,Axis_y,Axis_z,Origin_x,Origin_y,Origin_z,Origin_r,Origin_p,Origin_ya,BL_x,BL_y,BL_z,F_x,F_y,F_z,kalman_state_idx,Chain,Quaternion,Fixed_joint_idx,kinematic_q_index
Spine1_P,100,-0.2,0.6,1000,1,0,0,0,0,0,0,0,0,0,0,Hips,0,0,1,22,1,0,0,24
Spine1_R,100,-0.52,0.52,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,25
Spine1_Y,100,-0.26,0.26,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,26
Spine2_P,100,-0.2,0.34,1000,1,0,0,0,0,0,0,0,0,0,0,Spine,0,0,0.5,25,1,0,0,27
Spine2_R,100,-0.52,0.52,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,28
Spine2_Y,100,-0.82,0.82,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,29
Chest,100,-3.14,3.14,1000,0,0,1,0,0,0.25,0,0,0,0,0,Spine,0,0,0.5,-1,-1,0,0,-1
Neck_R,100,-0.85,0.85,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,40
Neck_P,100,-1.09,1.11,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,41
Neck_Y,100,-1.48,1.48,1000,0,0,1,0,0,0.1,0,0,0,0,0,Neck,0,0,1,38,1,0,0,42
L_Ear,100,0,0,1000,1,0,0,0.1,0,0.15,0,0,0,EyeToEye,0,Head,1,0,1,-1,1,0,43,43
L_Ear_end,100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
R_Ear,100,0,0,1000,1,0,0,0,0,0,0,0,0,EyeToEye,0,0,-2,0,0,-1,1,0,44,44
R_Ear_end,100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
L_Eye,100,0,0,1000,1,0,0,0.1,0,0.15,0,0,0,Ear2Eye_x,Ear2Eye_y,Ear2Eye_z,-1,-1,1,-1,1,0,45,45
