DOF,Joint,Transformation,Axis,Rortation order,Parent Link,Child Link,Blender joints,Rotation offset X,Rotation offset Y,Rotation offset Z
0,R,location,0,XYZ,BASE,BODY,Hips,,,
1,R,location,2,XYZ,BASE,BODY,,,,
2,R,location,1,XYZ,BASE,BODY,,,,
3,R,rotation_euler,0,XYZ,BASE,BODY,,,,
4,R,rotation_euler,2,XYZ,BASE,BODY,,,,
5,R,rotation_euler,1,XYZ,BASE,BODY,,,,
6,L_Hip_Q_x,rotation_quaternion,1,,BODY,L_Leg1,,,,
7,L_Hip_Q_y,rotation_quaternion,3,,BODY,L_Leg1,,,,
8,L_Hip_Q_z,rotation_quaternion,2,,BODY,L_Leg1,LeftUpLeg,,,
9,L_Knee,rotation_euler,1,XYZ,L_Leg1,L_Leg2,LeftLeg,,,
10,L_Ankle_Y,rotation_euler,1,XYZ,L_Leg2,L_Leg3,,,,
11,L_Ankle_R,rotation_euler,1,XYZ,L_Leg3,L_Leg4,,,,
12,L_Ankle_P,rotation_euler,1,XYZ,L_Leg4,L_Ankle,LeftFoot,,,
13,L_Foot_Pinky_P,rotation_euler,1,XYZ,L_Ankle,L_Foot,LeftToeBase,,,
14,L_BigToe (DummyJoint),rotation_euler,1,XYZ,L_Foot,L_Foot_tip,,,,
15,R_Hip_Q_x,rotation_quaternion,1,,BODY,R_Leg1,,,,
16,R_Hip_Q_y,rotation_quaternion,3,,BODY,R_Leg1,,,,
17,R_Hip_Q_z,rotation_quaternion,2,,BODY,R_Leg1,RightUpLeg,,,
18,R_Knee,rotation_euler,1,XYZ,R_Leg1,R_Leg2,RightLeg,,,
19,R_Ankle_Y,rotation_euler,1,XYZ,R_Leg2,R_Leg3,,,,
20,R_Ankle_R,rotation_euler,1,XYZ,R_Leg3,R_Leg4,,,,
21,R_Ankle_P,rotation_euler,1,XYZ,R_Leg4,R_Ankle,RightFoot,,,
22,R_Foot_Pinky_P,rotation_euler,1,XYZ,R_Ankle,R_Foot,RightToeBase,,,
23,R_BigToe (DummyJoint),rotation_euler,1,XYZ,R_Foot,R_Foot_tip,,,,
24,Spine1_P,rotation_euler,1,XYZ,BODY,Spine1_1,,,,
25,Spine1_R,rotation_euler,1,XYZ,Spine1_1,Spine1_2,,,,
26,Spine1_Y,rotation_euler,1,XYZ,Spine1_2,Spine1_3,Spine,,,
27,Spine2_P,rotation_euler,1,XYZ,Spine1_3,Spine2_1,,,,
28,Spine2_R,rotation_euler,1,XYZ,Spine2_1,Spine2_2,,,,
29,Spine2_Y,rotation_euler,1,XYZ,Spine2_2,Spine2_3,Spine1,,,
30,L_Shoulder_Prism,location,1,XYZ,Torso,L_sblade,LeftShoulder,,,
31,L_Shoulder_Q_x,rotation_quaternion,1,,L_sblade,L_Arm1,,,,
32,L_Shoulder_Q_y,rotation_quaternion,3,,L_sblade,L_Arm1,,,,
33,L_Shoulder_Q_z,rotation_quaternion,2,,L_sblade,L_Arm1,LeftArm,,,
34,L_Elbow,rotation_euler,1,XYZ,L_Arm1,L_Arm2,LeftForeArm,,,
35,L_Wrist_P,rotation_euler,1,XYZ,L_Arm2,L_Wrist1,,,,
36,L_Wrist_R,rotation_euler,1,XYZ,L_Wrist1,L_Wrist2,,,,
37,L_Wrist_Y,rotation_euler,1,XYZ,L_Wrist2,L_Wrist3,LeftHand,,,
38,L_hand1 (DummyJoint),rotation_euler,1,XYZ,L_Wrist3,L_finger_1,,,,
39,L_hand2 (DummyJoint),rotation_euler,1,XYZ,L_Wrist3,L_finger_2,,,,
40,Neck_Y,rotation_euler,1,XYZ,Torso,Neck1,,,,
41,Neck_P,rotation_euler,1,XYZ,Neck1,Neck2,,,,
42,Neck_R,rotation_euler,1,XYZ,Neck2,Neck3,Head,,,
43,L_Ear (DummyJoint),rotation_euler,1,XYZ,Neck3,L_Ear_link,,,,
44,R_Ear (DummyJoint),rotation_euler,1,XYZ,Neck3,R_Ear_link,,,,
45,L_Eye (DummyJoint),rotation_euler,1,XYZ,Neck3,L_Eye_link,,,,
46,R_Eye (DummyJoint),rotation_euler,1,XYZ,Neck3,R_Eye_link,,,,
47,R_Shoulder_Prism,location,1,XYZ,Torso,R_sblade,RightShoulder,,,
48,R_Shoulder_Q_x,rotation_quaternion,1,,R_sblade,R_Arm1,,,,
49,R_Shoulder_Q_y,rotation_quaternion,3,,R_sblade,R_Arm1,,,,
50,R_Shoulder_Q_z,rotation_quaternion,2,,R_sblade,R_Arm1,RightArm,,,
51,R_Elbow,rotation_euler,1,XYZ,R_Arm1,R_Arm2,RightForeArm,,,
52,R_Wrist_P,rotation_euler,1,XYZ,R_Arm2,R_Wrist1,,,,
53,R_Wrist_R,rotation_euler,1,XYZ,R_Wrist1,R_Wrist2,,,,
54,R_Wrist_Y,rotation_euler,1,XYZ,R_Wrist2,R_Wrist3,RightHand,,,
55,R_hand1 (DummyJoint),rotation_euler,1,XYZ,R_Wrist3,R_finger_1,,,,
56,R_hand2 (DummyJoint),rotation_euler,1,XYZ,R_Wrist3,R_finger_2,,,,
57,L_Hip_Q_w,rotation_quaternion,0,,BODY,L_Leg1,,,,
58,R_Hip_Q_w,rotation_quaternion,0,,BODY,R_Leg1,,,,
59,L_Shoulder_Q_w,rotation_quaternion,0,,L_sblade,L_Arm1,,,,
60,R_Shoulder_Q_w,rotation_quaternion,0,,R_sblade,R_Arm1,,,,
