ID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
ABS,,Abashiri,44.0178,144.2797,38.0,UTC+09:00,,Abashiri,Okhotsk Subprefecture,Japan,asphalt,flat,rural,,,1M,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,2021-03-01,,
ALE,,Alert,82.49,-62.42,127.0,UTC-04:00,,Canadian Forces Station Alert,Nunavut,Canada,tundra,hilly,rural,ET,,1M,Christopher Cox (christopher.j.cox@noaa.gov),NOAA,,,,2004-08-01,,Closed
ASP,,Alice Springs,-23.798000000000002,133.888,547.0,UTC+09:30,Roger Vale Drive,,Northern Territory,Australia,grass,flat,rural,BWh,,1M,Matt Tully (m.tully@bom.gov.au),ABOM,,,,1995-01-01,,
BAR,,Barrow,71.32300000000001,-156.607,8.0,UTC-08:00,,,Alaska,United States,tundra,flat,rural,,,1M,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,1992-01-01,,
BER,,Bermuda,32.266999999999996,-64.667,8.0,UTC-03:00,,Hamilton,,Bermuda,"water, ocean",flat,rural,,,1M,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,1992-01-01,,
BIL,,Billings,36.605,-97.516,317.0,UTC-05:00,N3080 Road,,Oklahoma,United States,grass,flat,rural,Cfa,,1M,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,1993-06-01,,
BON,,Bondville,40.0667,-88.3667,213.0,UTC-05:00,County Road 500 East,,Illinois,United States,grass,flat,rural,Dfa,,1M,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,1995-01-01,,
BOS,,Boulder,40.125,-105.23700000000001,1689.0,UTC-06:00,Ouray Drive,,Colorado,United States,grass,hilly,rural,Dfa,,1M,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,1995-07-01,,
BOU,,Boulder,40.05,-105.007,1577.0,UTC-06:00,County Road 7,Erie,Colorado,United States,grass,flat,rural,BSk,,1M,David Longenecker (David.U.Longenecker@noaa.gov),NOAA,,,2016-07,1992-01-01,,Closed in July 2016
BRB,,Brasilia,-15.600999999999999,-47.713,1023.0,UTC-03:00,,"Região Geográfica Imediata do Distrito Federal, Planaltina","Central-West Region, Federal District",Brazil,"concrete, since 2015: shrub",flat,rural,Aw,,1M,Enio Bueno Pereira (enio.pereira@inpe.br),INPE,,,,2006-02-01,,
