bakken	bakte	bakten	gebakken
bannen	bande	banden	gebannen
barsten	barstte	barstten	gebarsten
bederven	bedierf	bedierven	bedorven
bedriegen	bedroog	bedrogen	bedrogen
beginnen	begon	begonnen	begonnen
behangen	behing	behingen	behangen
bergen	borg	borgen	geborgen
bevelen	beval	bevalen	bevolen
bezwijken	bezweek	bezweken	bezweken
bidden	bad	baden	gebeden
bieden	bood	boden	geboden
bijten	beet	beten	gebeten
binden	bond	bonden	gebonden
blazen	blies	bliezen	geblazen
blijken	bleek	bleken	gebleken
blijven	bleef	bleven	gebleven
blinken	blonk	blonken	geblonken
braden	braadde	braadden	gebraden
breken	brak	braken	gebroken
brengen	bracht	brachten	gebracht
brouwen	brouwde	brouwden	gebrouwen
buigen	boog	bogen	gebogen
denken	dacht	dachten	gedacht
dingen	dong	dongen	gedongen
doen	deed	deden	gedaan
dragen	droeg	droegen	gedragen
drijven	dreef	dreven	gedreven
dringen	drong	drongen	gedrongen
drinken	dronk	dronken	gedronken
druipen	droop	dropen	gedropen
duiken	dook	doken	gedoken
dwingen	dwong	dwongen	gedwongen
eten	at	aten	gegeten
fluiten	floot	floten	gefloten
gaan	ging	gingen	gegaan
gelden	gold	golden	gegolden
genezen	genas	genazen	genezen
genieten	genoot	genoten	genoten
geven	gaf	gaven	gegeven
gieten	goot	goten	gegoten
glijden	gleed	gleden	gegleden
glimmen	glom	glommen	geglommen
graven	groef	groeven	gegraven
grijpen	greep	grepen	gegrepen
hangen	hing	hingen	gehangen
hebben	had	hadden	gehad
heffen	hief	hieven	geheven
helpen	hielp	hielpen	geholpen
heten	heette	heetten	geheten
hijsen	hees	hesen	gehesen
hoeven	hoefde	hoefden	gehoeven
houden	hield	hielden	gehouden
houwen	hieuw	hieuwen	gehouwen
jagen	joeg	joegen	gejaagd
jagen	jaagde	jaagden	gejaagd
kiezen	koos	kozen	gekozen
kijken	keek	keken	gekeken
klimmen	klom	klommen	geklommen
klinken	klonk	klonken	geklonken
kluiven	kloof	kloven	gekloven
knijpen	kneep	knepen	geknepen
komen	kwam	kwamen	gekomen
kopen	kocht	kochten	gekocht
krijgen	kreeg	kregen	gekregen
krimpen	kromp	krompen	gekrompen
kruipen	kroop	kropen	gekropen
kwijten	kweet	kweten	gekweten
lachen	lachte	lachten	gelachen
laden	laadde	laadden	geladen
laten	liet	lieten	gelaten
lezen	las	lazen	gelezen
liegen	loog	logen	gelogen
liggen	lag	lagen	gelegen
lijden	leed	leden	geleden
lijken	leek	leken	geleken
lopen	liep	liepen	gelopen
malen	maalde	maalden	gemalen
melken	molk	molken	gemolken	
melken	melkte	melkten	gemelkt
meten	mat	maten	gemeten
mijden	meed	meden	gemeden
moeten	moest	moesten	gemoeten
nemen	nam	namen	genomen
nijgen	neeg	negen	genegen
ontginnen	ontgon	ontgonnen	ontgonnen
ontluiken	ontlook	ontloken	ontloken
pluizen	ploos	plozen	geplozen
prijzen	prees	prezen	geprezen
raden	raadde	raadden	geraden
verraden	verried	verrieden	verraden
verraden	verraadde	verraadden	verraden
rijden	reed	reden	gereden
rijgen	reeg	regen	geregen
rijten	reet	reten	gereten
rijzen	rees	rezen	Gerezen
roepen	riep	riepen	geroepen
ruiken	rook	roken	geroken
scheiden	scheidde	scheidden	gescheiden
schelden	schold	scholden	gescholden
schenden	schond	schonden	geschonden
schenken	schonk	schonken	geschonken
scheppen	shiep	schiepen	geschapen
scheren	scheerde	scheerden	geschoren
schieten	schoot	schoten	geschoten
schijnen	scheen	schenen	geschenen
schijten	scheet	scheten	gescheten
schrijven	schreef	schreven	geschreven
schrikken	schrok	schrokken	geschrokken
schuilen	school	scholen	gescholen
schuilen	schuilde	schuilden	geschuild
schuiven	schoof	schoven	geschoven
slaan	sloeg	sloegen	geslagen
slapen	sliep	sliepen	geslapen
slijpen	sleep	slepen	geslepen
slijten	sleet	sleten	gesleten
slinken	slonk	slonken	Geslonken
sluipen	sloop	slopen	geslopen
sluiten	sloot	sloten	gesloten
smelten	smolt	smolten	gesmolten
smijten	smeet	smeten	gesmeten
snijden	sneed	sneden	gesneden
snuiten	snoot	snoten	gesnoten
snuiven	snoof	snoven	gesnoven
spannen	spande	spanden	gespannen
spijten	speet	speten	gespeten
spinnen	spon	sponnen	gesponnen
splijten	spleet	spleten	gespleten
spreken	sprak	spraken	gesproken
springen	sprong	sprongen	gesprongen
spruiten	sproot	sproten	gesproten
spuiten	spoot	spoten	gespoten
staan	stond	stonden	gestaan
steken	stak	staken	gestoken
stelen	stal	stalen	gestolen
sterven	stierf	stierven	gestorven
stijgen	steeg	stegen	gestegen
stijven	steef	steven	gesteven
stinken	stonk	stonken	gestonken
stoten	stootte	stootten	gestoten
strijden	streed	streden	gestreden
strijken	streek	streken	gestreken
stuiven	stoof	stoven	gestoventoven
treden	trad	traden	getreden
treffen	trof	troffen	getroffen
trekken	trok	trokken	getrokken
vallen	viel	vielen	gevallen
vangen	ving	vingen	gevangen
varen	voer	voeren	gevaren
vechten	vocht	vochten	gevochten
verdrieten	verdroot	verdroten	verdroten
verdwijnen	verdween	verdwenen	verdwenen
vergeten	vergat	vergaten	vergeten
verliezen	verloor	verloren	verloren
vinden	vond	vonden	gevonden
vlechten	vlocht	vlochten	gevlochten
vliegen	vloog	vlogen	gevlogen
vouwen	vouwde	vouwden	gevouwen
vragen	vroeg	vroegen	gevraagd
vreten	vrat	vraten	gevreten
vriezen	vroor	vroren	gevroren
vrijen	vree	vreeën	gevreeën
vrijen	vrijde	vrijden	gevrijd
wassen	waste	wasten	gewassen
wegen	woog	wogen	gewogen
werpen	wierp	wierpen	geworpen
werven	wierf	wierven	geworven
weten	wist	wisten	geweten
weven	weefde	weefden	geweven
wijken	week	weken	geweken
wijten	weet	weten	geweten
wijzen	wees	wezen	gewezen
winden	wond	wonden	gewonden
winnen	won	wonnen	gewonnen
worden	werd	werden	geworden
wrijven	wreef	wreven	gewreven
wringen	wrong	wrongen	gewrongen
zeggen	zei	zeiden	gezegd
zenden	zond	zonden	gezonden
zijgen	zeeg	zegen	gezegen
zijn	was	waren	geweest
zingen	zong	zongen	gezongen
zinken	zonk	zonken	gezonken
zinnen	zon	zonnen	gezonnen
zitten	zat	zaten	gezeten
zoeken	zocht	zochten	gezocht
zuigen	zoog	zogen	gezogen
zuipen	zoop	zopen	gezopen
zwelgen	zwolg	zwolgen	gezwolgen
