"Summary", "Description", "Status" 
"cfat - undefined - Enable SCP", "Enable SCP in AWS Organization", "Open" 
"cfat - undefined - Enable Tag Policy", "Enable Tag Policy in AWS Organization", "Open" 
"cfat - undefined - Enable Backup Policy", "Enable Backup Policy in AWS Organization", "Open" 
"cfat - undefined - Setup legacy CUR", "Setup legacy CUR in AWS Organization", "Open" 
"cfat - undefined - Review account email addresses", "Review Account Email Addresses in AWS Organization", "Open" 
"cfat - undefined - Deploy Transitional OU", "Deploy Transitional OU in AWS Organization", "Open" 
"cfat - undefined - Deploy Suspended OU", "Deploy Suspended OU in AWS Organization", "Open" 
"cfat - undefined - Deploy Workloads OU", "Deploy Workloads OU in AWS Organization", "Open" 
"cfat - undefined - Deploy Security OU", "Deploy Security OU in AWS Organization", "Open" 
"cfat - undefined - Deploy Infrastructure OU", "Deploy Infrastructure OU in AWS Organization", "Open" 
"cfat - undefined - Deploy AWS Control Tower", "Deploy AWS Control Tower in AWS Organization", "Open" 
"cfat - undefined - Enable AWS CloudTrail", "Enable AWS CloudTrail in AWS Organization", "Open" 
"cfat - undefined - Delegate administration of Amazon S3 Storage Lens", "Delegate administration to Amazon S3 Storage Lens", "Open" 
"cfat - undefined - Enable AWS CloudFormation", "Enable AWS CloudFormation in AWS Organization", "Open" 
"cfat - undefined - Enable AWS Single Sign-On", "Enable AWS Single Sign-On in AWS Organization", "Open" 
"cfat - undefined - Delegate administration to AWS IAM Identity Center", "Delegate administration to AWS IAM Identity Center", "Open" 
"cfat - undefined - Delegate administration to AWS Security Hub", "Delegate administration to AWS Security Hub", "Open" 
"cfat - undefined - Delegate administration of AWS Security Hub", "Delegate administration to AWS Security Hub", "Open" 
"cfat - undefined - Delegate administration to AWS IAM Access Analyzer", "Delegate administration to AWS IAM Access Analyzer", "Open" 
"cfat - undefined - Delegate administration of AWS IAM Access Analyzer", "Delegate administration to AWS IAM Access Analyzer", "Open" 
"cfat - undefined - Enable AWS GuardDuty", "Enable AWS GuardDuty in AWS Organization", "Open" 
"cfat - undefined - Delegate administration of AWS GuardDuty", "Delegate administration to AWS GuardDuty", "Open" 
"cfat - undefined - Enable AWS Config", "Enable AWS Config in AWS Organization", "Open" 
"cfat - undefined - Delegate administration of AWS Config", "Delegate administration to AWS Config", "Open" 
"cfat - undefined - Enable AWS Resource Access Manager", "Enable AWS Resource Access Manager in AWS Organization", "Open" 
"cfat - undefined - Enable AWS IPAM", "Enable AWS IPAM in AWS Organization", "Open" 
"cfat - undefined - Delegate administration of AWS IPAM", "Delegate administration to AWS IPAM", "Open" 
"cfat - undefined - Enable AWS Account", "Enable AWS Account in AWS Organization", "Open" 
"cfat - undefined - Delegate administration of AWS Account management", "Delegate administration to AWS Account contact management", "Open" 
"cfat - undefined - Enable AWS Backup", "Enable AWS Backup in AWS Organization", "Open" 
"cfat - undefined - Delegate administration of AWS Backup", "Delegate administration to AWS Backup", "Open" 
