,xy,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
xy,0.0,6.0,6.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,6.0,4.0
speed,6.0,0.0,1.0,0.0,6.0,5.0,10.0,3.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0
bodydirection,6.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0
headdirection,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
rest,1.0,6.0,1.0,1.0,0.0,4.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
walk,0.0,5.0,3.0,1.0,4.0,0.0,13.0,1.0,1.0,5.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0
locomotion,4.0,10.0,2.0,1.0,5.0,13.0,0.0,3.0,1.0,6.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0
freezing,0.0,3.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
rear,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0
corners,0.0,3.0,4.0,1.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,8.0,0.0,2.0,2.0,3.0,2.0
walls,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,9.0,0.0,5.0,3.0,2.0,3.0
center,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,9.0,0.0,0.0,6.0,3.0,2.0,8.0
object1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
object2,6.0,2.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,2.0,5.0,6.0,0.0,0.0,1.0,7.0,8.0
object3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0
object4,6.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,7.0,0.0,0.0,4.0
objects,4.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,8.0,2.0,8.0,2.0,4.0,0.0
