,xy,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
xy,0.0,3.0,3.0,0.5,0.5,0.0,2.0,0.0,0.5,0.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0
speed,3.0,0.0,0.5,0.0,3.0,3.0,5.0,1.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.5
bodydirection,3.0,0.5,0.0,1.0,0.5,1.5,1.0,0.5,0.0,2.0,0.5,0.0,0.0,1.0,0.5,1.5,0.5
headdirection,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
rest,0.5,3.0,0.5,0.5,0.0,2.5,1.5,1.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5
walk,0.0,2.0,1.5,0.5,1.5,0.0,3.0,0.5,0.5,0.5,0.0,1.0,0.0,1.5,0.0,1.5,1.0
locomotion,2.0,5.0,1.0,0.5,3.5,10.0,0.0,2.0,0.5,3.0,0.0,1.0,0.0,2.0,0.0,0.5,1.0
freezing,0.0,1.5,0.5,0.0,1.5,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
rear,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.0
corners,0.0,2.5,2.0,0.5,0.5,4.5,3.0,0.5,0.5,0.0,0.5,4.5,0.0,1.0,1.0,1.5,1.0
walls,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,4.0,0.0,2.5,1.5,1.0,1.5
center,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5,3.5,5.0,0.0,0.0,3.0,1.5,1.0,4.0
object1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
object2,3.0,1.5,1.0,0.0,0.5,1.5,2.0,0.0,0.5,1.0,2.5,3.0,0.0,0.0,0.5,3.5,4.0
object3,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.5,0.0,0.5,0.0,0.0,1.0
object4,3.0,1.0,1.5,0.0,0.5,1.5,0.5,0.0,1.0,1.5,1.0,1.0,0.0,3.5,0.0,0.0,1.5
objects,2.0,0.5,0.5,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.5,4.0,0.0,4.0,1.0,2.5,0.0
