,xy,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
xy,0.0,11.0,57.0,23.0,9.0,23.0,0.0,2.0,0.0,0.0,11.0,0.0,27.0,0.0,40.0,0.0,30.0
speed,11.0,0.0,2.0,1.0,8.0,10.0,29.0,1.0,13.0,3.0,0.0,2.0,0.0,3.0,3.0,5.0,3.0
bodydirection,57.0,2.0,0.0,5.0,1.0,15.0,14.0,0.0,14.0,14.0,4.0,15.0,18.0,7.0,18.0,17.0,12.0
headdirection,23.0,1.0,5.0,0.0,2.0,1.0,6.0,0.0,4.0,5.0,3.0,6.0,2.0,4.0,4.0,8.0,5.0
rest,9.0,8.0,1.0,2.0,0.0,6.0,9.0,2.0,6.0,4.0,2.0,6.0,1.0,1.0,3.0,4.0,5.0
walk,23.0,10.0,15.0,1.0,6.0,0.0,36.0,2.0,16.0,15.0,7.0,26.0,8.0,9.0,15.0,12.0,20.0
locomotion,0.0,29.0,14.0,6.0,9.0,36.0,0.0,0.0,28.0,11.0,5.0,15.0,9.0,7.0,10.0,18.0,12.0
freezing,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
rear,0.0,13.0,14.0,4.0,6.0,16.0,28.0,0.0,0.0,15.0,4.0,20.0,8.0,8.0,9.0,17.0,12.0
corners,0.0,3.0,14.0,5.0,4.0,15.0,11.0,1.0,15.0,0.0,5.0,40.0,4.0,13.0,9.0,12.0,21.0
walls,11.0,0.0,4.0,3.0,2.0,7.0,5.0,1.0,4.0,5.0,0.0,15.0,0.0,6.0,5.0,3.0,8.0
center,0.0,2.0,15.0,6.0,6.0,26.0,15.0,2.0,20.0,40.0,15.0,0.0,11.0,22.0,17.0,18.0,41.0
object1,27.0,0.0,18.0,2.0,1.0,8.0,9.0,0.0,8.0,4.0,0.0,11.0,0.0,2.0,8.0,8.0,17.0
object2,0.0,3.0,7.0,4.0,1.0,9.0,7.0,0.0,8.0,13.0,6.0,22.0,2.0,0.0,9.0,13.0,30.0
object3,40.0,3.0,18.0,4.0,3.0,15.0,10.0,0.0,9.0,9.0,5.0,17.0,8.0,9.0,0.0,14.0,22.0
object4,0.0,5.0,17.0,8.0,4.0,12.0,18.0,0.0,17.0,12.0,3.0,18.0,8.0,13.0,14.0,0.0,24.0
objects,30.0,3.0,12.0,5.0,5.0,20.0,12.0,1.0,12.0,21.0,8.0,41.0,17.0,30.0,22.0,24.0,0.0
