,xy,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
xy,0.0,63.0,65.0,31.0,42.0,59.0,63.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
speed,63.0,0.0,20.0,15.0,57.0,32.0,83.0,2.0,12.0,26.0,6.0,25.0,11.0,13.0,11.0,13.0,14.0
bodydirection,65.0,20.0,0.0,10.0,13.0,19.0,23.0,2.0,12.0,28.0,4.0,24.0,9.0,14.0,15.0,12.0,12.0
headdirection,31.0,15.0,10.0,0.0,6.0,12.0,12.0,0.0,8.0,8.0,2.0,7.0,2.0,5.0,6.0,11.0,12.0
rest,42.0,57.0,13.0,6.0,0.0,19.0,38.0,1.0,7.0,21.0,2.0,20.0,4.0,8.0,7.0,13.0,8.0
walk,59.0,32.0,19.0,12.0,19.0,0.0,54.0,0.0,13.0,39.0,9.0,40.0,11.0,21.0,18.0,19.0,13.0
locomotion,63.0,83.0,23.0,12.0,38.0,54.0,0.0,1.0,16.0,36.0,8.0,33.0,11.0,17.0,14.0,14.0,10.0
freezing,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rear,0.0,12.0,12.0,8.0,7.0,13.0,16.0,0.0,0.0,21.0,6.0,23.0,5.0,5.0,12.0,12.0,9.0
corners,0.0,26.0,28.0,8.0,21.0,39.0,36.0,0.0,21.0,0.0,8.0,75.0,13.0,16.0,17.0,20.0,16.0
walls,15.0,6.0,4.0,2.0,2.0,9.0,8.0,0.0,6.0,8.0,0.0,18.0,2.0,5.0,4.0,4.0,5.0
center,0.0,25.0,24.0,7.0,20.0,40.0,33.0,1.0,23.0,75.0,18.0,0.0,12.0,16.0,16.0,15.0,16.0
object1,0.0,11.0,9.0,2.0,4.0,11.0,11.0,0.0,5.0,13.0,2.0,12.0,0.0,6.0,11.0,12.0,11.0
object2,0.0,13.0,14.0,5.0,8.0,21.0,17.0,0.0,5.0,16.0,5.0,16.0,6.0,0.0,4.0,9.0,12.0
object3,0.0,11.0,15.0,6.0,7.0,18.0,14.0,0.0,12.0,17.0,4.0,16.0,11.0,4.0,0.0,15.0,14.0
object4,0.0,13.0,12.0,11.0,13.0,19.0,14.0,0.0,12.0,20.0,4.0,15.0,12.0,9.0,15.0,0.0,17.0
objects,0.0,14.0,12.0,12.0,8.0,13.0,10.0,0.0,9.0,16.0,5.0,16.0,11.0,12.0,14.0,17.0,0.0
