,xy,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
xy,0.0,5.5,28.5,11.5,4.5,11.5,0.0,1.0,0.0,0.0,5.5,0.0,13.5,0.0,20.0,0.0,15.0
speed,5.5,0.0,1.0,0.5,3.0,4.0,11.0,0.5,3.0,1.5,0.0,1.0,0.0,1.5,1.5,1.0,1.5
bodydirection,28.5,1.0,0.0,3.5,0.5,7.5,7.0,0.0,7.0,7.0,0.0,7.5,9.0,3.5,9.0,8.5,6.0
headdirection,11.5,0.5,1.5,0.0,1.0,0.5,2.5,0.0,2.0,2.5,1.5,3.0,1.0,2.0,2.0,4.0,2.5
rest,4.5,5.0,0.5,1.0,0.0,3.5,6.0,1.5,2.5,2.0,1.0,3.0,0.5,0.5,1.5,2.0,2.5
walk,11.5,6.0,7.5,0.5,2.5,0.0,16.5,1.5,8.0,7.5,0.5,13.0,4.0,4.5,7.5,6.0,10.0
locomotion,0.0,18.0,7.0,3.5,3.0,19.5,0.0,0.0,11.5,5.5,2.5,7.5,4.5,3.5,5.0,9.0,6.0
freezing,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5
rear,0.0,10.0,7.0,2.0,3.5,8.0,16.5,0.0,0.0,2.5,2.0,2.5,4.0,4.0,4.5,8.5,6.0
corners,0.0,1.5,7.0,2.5,2.0,7.5,5.5,0.5,12.5,0.0,3.0,18.5,2.0,6.5,4.5,6.0,10.5
walls,5.5,0.0,4.0,1.5,1.0,6.5,2.5,0.5,2.0,2.0,0.0,6.0,0.0,3.0,2.5,1.5,4.0
center,0.0,1.0,7.5,3.0,3.0,13.0,7.5,1.0,17.5,21.5,9.0,0.0,5.5,11.0,8.5,9.0,20.5
object1,13.5,0.0,9.0,1.0,0.5,4.0,4.5,0.0,4.0,2.0,0.0,5.5,0.0,1.0,4.0,4.0,11.5
object2,0.0,1.5,3.5,2.0,0.5,4.5,3.5,0.0,4.0,6.5,3.0,11.0,1.0,0.0,4.5,6.5,17.5
object3,20.0,1.5,9.0,2.0,1.5,7.5,5.0,0.0,4.5,4.5,2.5,8.5,4.0,4.5,0.0,7.0,14.0
object4,0.0,4.0,8.5,4.0,2.0,6.0,9.0,0.0,8.5,6.0,1.5,9.0,4.0,6.5,7.0,0.0,14.5
objects,15.0,1.5,6.0,2.5,2.5,10.0,6.0,0.5,6.0,10.5,4.0,20.5,5.5,12.5,8.0,9.5,0.0
