,xy,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
xy,0.0,31.5,32.5,15.5,21.0,29.5,31.5,1.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
speed,31.5,0.0,10.0,7.5,24.5,17.5,40.0,1.0,6.0,6.5,3.0,12.5,5.5,6.5,4.0,4.0,7.5
bodydirection,32.5,10.0,0.0,4.0,6.5,9.5,11.5,1.0,6.0,14.0,2.0,12.0,4.5,7.0,7.5,6.0,6.0
headdirection,15.5,7.5,6.0,0.0,1.0,5.0,4.0,0.0,3.5,4.0,1.0,3.5,1.0,2.5,3.0,1.5,4.5
rest,21.0,32.5,6.5,5.0,0.0,14.5,19.5,0.5,3.5,10.5,1.0,10.0,2.0,4.0,3.5,6.5,4.0
walk,29.5,14.5,9.5,7.0,4.5,0.0,21.0,0.0,5.0,19.5,1.0,20.0,6.5,10.0,5.5,9.5,4.5
locomotion,31.5,43.0,11.5,8.0,18.5,33.0,0.0,1.0,9.5,18.0,4.0,16.5,5.5,8.5,7.0,5.5,6.0
freezing,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
rear,0.0,6.0,6.0,4.5,3.5,8.0,6.5,0.0,0.0,3.5,3.0,2.5,2.5,2.5,5.5,6.0,4.5
corners,0.0,19.5,14.0,4.0,10.5,19.5,18.0,0.0,17.5,0.0,5.5,31.5,6.5,8.0,8.5,10.0,8.0
walls,7.5,3.0,2.0,1.0,1.0,8.0,4.0,0.0,3.0,2.5,0.0,2.5,1.0,2.5,2.0,2.0,2.5
center,0.0,12.5,12.0,3.5,10.0,20.0,16.5,0.5,20.5,43.5,15.5,0.0,6.0,8.0,8.0,7.5,8.0
object1,0.0,5.5,4.5,1.0,2.0,4.5,5.5,0.0,2.5,6.5,1.0,6.0,0.0,3.0,5.5,6.0,6.0
object2,0.0,6.5,7.0,2.5,4.0,11.0,8.5,0.0,2.5,8.0,2.5,8.0,3.0,0.0,2.0,4.5,8.5
object3,0.0,7.0,7.5,3.0,3.5,12.5,7.0,0.0,6.5,8.5,2.0,8.0,5.5,2.0,0.0,7.5,9.0
object4,0.0,9.0,6.0,9.5,6.5,9.5,8.5,0.0,6.0,10.0,2.0,7.5,6.0,4.5,7.5,0.0,10.5
objects,0.0,6.5,6.0,7.5,4.0,8.5,4.0,0.0,4.5,8.0,2.5,8.0,5.0,3.5,5.0,6.5,0.0
