cc,label,model_domain,model_version,model_fullname
HCC1,HIV/AIDS,CMS-HCC,V20,V20H87L1
HCC10,Lymphoma and Other Cancers,CMS-HCC,V20,V20H87L1
HCC100,Ischemic or Unspecified Stroke,CMS-HCC,V20,V20H87L1
HCC103,Hemiplegia/Hemiparesis,CMS-HCC,V20,V20H87L1
HCC104,"Monoplegia, Other Paralytic Syndromes",CMS-HCC,V20,V20H87L1
HCC106,Atherosclerosis of the Extremities with Ulceration or Gangrene,CMS-HCC,V20,V20H87L1
HCC107,Vascular Disease with Complications,CMS-HCC,V20,V20H87L1
HCC108,Vascular Disease,CMS-HCC,V20,V20H87L1
HCC11,"Colorectal, Bladder, and Other Cancers",CMS-HCC,V20,V20H87L1
HCC110,Cystic Fibrosis,CMS-HCC,V20,V20H87L1
HCC111,Chronic Obstructive Pulmonary Disease,CMS-HCC,V20,V20H87L1
HCC112,Fibrosis of Lung and Other Chronic Lung Disorders,CMS-HCC,V20,V20H87L1
HCC114,Aspiration and Specified Bacterial Pneumonias,CMS-HCC,V20,V20H87L1
HCC115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",CMS-HCC,V20,V20H87L1
HCC12,"Breast, Prostate, and Other Cancers and Tumors",CMS-HCC,V20,V20H87L1
HCC122,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage,CMS-HCC,V20,V20H87L1
HCC124,Exudative Macular Degeneration,CMS-HCC,V20,V20H87L1
HCC134,Dialysis Status,CMS-HCC,V20,V20H87L1
HCC135,Acute Renal Failure,CMS-HCC,V20,V20H87L1
HCC136,"Chronic Kidney Disease, Stage 5",CMS-HCC,V20,V20H87L1
HCC137,"Chronic Kidney Disease, Severe (Stage 4)",CMS-HCC,V20,V20H87L1
HCC138,"Chronic Kidney Disease, Moderate (Stage 3)",CMS-HCC,V20,V20H87L1
HCC139,"Chronic Kidney Disease, Mild or Unspecified (Stages 1-2 or Unspecified)",CMS-HCC,V20,V20H87L1
HCC140,Unspecified Renal Failure,CMS-HCC,V20,V20H87L1
HCC141,Nephritis,CMS-HCC,V20,V20H87L1
HCC157,"Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone",CMS-HCC,V20,V20H87L1
HCC158,Pressure Ulcer of Skin with Full Thickness Skin Loss,CMS-HCC,V20,V20H87L1
HCC159,Pressure Ulcer of Skin with Partial Thickness Skin Loss,CMS-HCC,V20,V20H87L1
HCC160,Pressure Pre-Ulcer Skin Changes or Unspecified Stage,CMS-HCC,V20,V20H87L1
HCC161,"Chronic Ulcer of Skin, Except Pressure",CMS-HCC,V20,V20H87L1
HCC162,Severe Skin Burn or Condition,CMS-HCC,V20,V20H87L1
HCC166,Severe Head Injury,CMS-HCC,V20,V20H87L1
HCC167,Major Head Injury,CMS-HCC,V20,V20H87L1
HCC169,Vertebral Fractures without Spinal Cord Injury,CMS-HCC,V20,V20H87L1
HCC17,Diabetes with Acute Complications,CMS-HCC,V20,V20H87L1
HCC170,Hip Fracture/Dislocation,CMS-HCC,V20,V20H87L1
HCC173,Traumatic Amputations and Complications,CMS-HCC,V20,V20H87L1
HCC176,Complications of Specified Implanted Device or Graft,CMS-HCC,V20,V20H87L1
HCC18,Diabetes with Chronic Complications,CMS-HCC,V20,V20H87L1
HCC186,Major Organ Transplant or Replacement Status,CMS-HCC,V20,V20H87L1
HCC188,Artificial Openings for Feeding or Elimination,CMS-HCC,V20,V20H87L1
HCC189,"Amputation Status, Lower Limb/Amputation Complications",CMS-HCC,V20,V20H87L1
HCC19,Diabetes without Complication,CMS-HCC,V20,V20H87L1
HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",CMS-HCC,V20,V20H87L1
HCC21,Protein-Calorie Malnutrition,CMS-HCC,V20,V20H87L1
HCC22,Morbid Obesity,CMS-HCC,V20,V20H87L1
HCC23,Other Significant Endocrine and Metabolic Disorders,CMS-HCC,V20,V20H87L1
HCC27,End-Stage Liver Disease,CMS-HCC,V20,V20H87L1
HCC28,Cirrhosis of Liver,CMS-HCC,V20,V20H87L1
HCC29,Chronic Hepatitis,CMS-HCC,V20,V20H87L1
HCC33,Intestinal Obstruction/Perforation,CMS-HCC,V20,V20H87L1
HCC34,Chronic Pancreatitis,CMS-HCC,V20,V20H87L1
HCC35,Inflammatory Bowel Disease,CMS-HCC,V20,V20H87L1
HCC39,Bone/Joint/Muscle Infections/Necrosis,CMS-HCC,V20,V20H87L1
HCC40,Rheumatoid Arthritis and Inflammatory Connective Tissue Disease,CMS-HCC,V20,V20H87L1
HCC46,Severe Hematological Disorders,CMS-HCC,V20,V20H87L1
HCC47,Disorders of Immunity,CMS-HCC,V20,V20H87L1
HCC48,Coagulation Defects and Other Specified Hematological Disorders,CMS-HCC,V20,V20H87L1
HCC51,Dementia With Complications,CMS-HCC,V20,V20H87L1
HCC52,Dementia Without Complication,CMS-HCC,V20,V20H87L1
HCC54,Drug/Alcohol Psychosis,CMS-HCC,V20,V20H87L1
HCC55,Drug/Alcohol Dependence,CMS-HCC,V20,V20H87L1
HCC57,Schizophrenia,CMS-HCC,V20,V20H87L1
HCC58,"Major Depressive, Bipolar, and Paranoid Disorders",CMS-HCC,V20,V20H87L1
HCC6,Opportunistic Infections,CMS-HCC,V20,V20H87L1
HCC70,Quadriplegia,CMS-HCC,V20,V20H87L1
HCC71,Paraplegia,CMS-HCC,V20,V20H87L1
HCC72,Spinal Cord Disorders/Injuries,CMS-HCC,V20,V20H87L1
HCC73,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,CMS-HCC,V20,V20H87L1
HCC74,Cerebral Palsy,CMS-HCC,V20,V20H87L1
HCC75,Polyneuropathy,CMS-HCC,V20,V20H87L1
HCC76,Muscular Dystrophy,CMS-HCC,V20,V20H87L1
HCC77,Multiple Sclerosis,CMS-HCC,V20,V20H87L1
HCC78,Parkinsons and Huntingtons Diseases,CMS-HCC,V20,V20H87L1
HCC79,Seizure Disorders and Convulsions,CMS-HCC,V20,V20H87L1
HCC8,Metastatic Cancer and Acute Leukemia,CMS-HCC,V20,V20H87L1
HCC80,"Coma, Brain Compression/Anoxic Damage",CMS-HCC,V20,V20H87L1
HCC82,Respirator Dependence/Tracheostomy Status,CMS-HCC,V20,V20H87L1
HCC83,Respiratory Arrest,CMS-HCC,V20,V20H87L1
HCC84,Cardio-Respiratory Failure and Shock,CMS-HCC,V20,V20H87L1
HCC85,Congestive Heart Failure,CMS-HCC,V20,V20H87L1
HCC86,Acute Myocardial Infarction,CMS-HCC,V20,V20H87L1
HCC87,Unstable Angina and Other Acute Ischemic Heart Disease,CMS-HCC,V20,V20H87L1
HCC88,Angina Pectoris,CMS-HCC,V20,V20H87L1
HCC9,Lung and Other Severe Cancers,CMS-HCC,V20,V20H87L1
HCC96,Specified Heart Arrhythmias,CMS-HCC,V20,V20H87L1
HCC99,Cerebral Hemorrhage,CMS-HCC,V20,V20H87L1
HCC1,HIV/AIDS,CMS-HCC,V22,V22H79L1
HCC10,Lymphoma and Other Cancers,CMS-HCC,V22,V22H79L1
HCC100,Ischemic or Unspecified Stroke,CMS-HCC,V22,V22H79L1
HCC103,Hemiplegia/Hemiparesis,CMS-HCC,V22,V22H79L1
HCC104,"Monoplegia, Other Paralytic Syndromes",CMS-HCC,V22,V22H79L1
HCC106,Atherosclerosis of the Extremities with Ulceration or Gangrene,CMS-HCC,V22,V22H79L1
HCC107,Vascular Disease with Complications,CMS-HCC,V22,V22H79L1
HCC108,Vascular Disease,CMS-HCC,V22,V22H79L1
HCC11,"Colorectal, Bladder, and Other Cancers",CMS-HCC,V22,V22H79L1
HCC110,Cystic Fibrosis,CMS-HCC,V22,V22H79L1
HCC111,Chronic Obstructive Pulmonary Disease,CMS-HCC,V22,V22H79L1
HCC112,Fibrosis of Lung and Other Chronic Lung Disorders,CMS-HCC,V22,V22H79L1
HCC114,Aspiration and Specified Bacterial Pneumonias,CMS-HCC,V22,V22H79L1
HCC115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",CMS-HCC,V22,V22H79L1
HCC12,"Breast, Prostate, and Other Cancers and Tumors",CMS-HCC,V22,V22H79L1
HCC122,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage,CMS-HCC,V22,V22H79L1
HCC124,Exudative Macular Degeneration,CMS-HCC,V22,V22H79L1
HCC134,Dialysis Status,CMS-HCC,V22,V22H79L1
HCC135,Acute Renal Failure,CMS-HCC,V22,V22H79L1
HCC136,"Chronic Kidney Disease, Stage 5",CMS-HCC,V22,V22H79L1
HCC137,"Chronic Kidney Disease, Severe (Stage 4)",CMS-HCC,V22,V22H79L1
HCC157,"Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone",CMS-HCC,V22,V22H79L1
HCC158,Pressure Ulcer of Skin with Full Thickness Skin Loss,CMS-HCC,V22,V22H79L1
HCC161,"Chronic Ulcer of Skin, Except Pressure",CMS-HCC,V22,V22H79L1
HCC162,Severe Skin Burn or Condition,CMS-HCC,V22,V22H79L1
HCC166,Severe Head Injury,CMS-HCC,V22,V22H79L1
HCC167,Major Head Injury,CMS-HCC,V22,V22H79L1
HCC169,Vertebral Fractures without Spinal Cord Injury,CMS-HCC,V22,V22H79L1
HCC17,Diabetes with Acute Complications,CMS-HCC,V22,V22H79L1
HCC170,Hip Fracture/Dislocation,CMS-HCC,V22,V22H79L1
HCC173,Traumatic Amputations and Complications,CMS-HCC,V22,V22H79L1
HCC176,Complications of Specified Implanted Device or Graft,CMS-HCC,V22,V22H79L1
HCC18,Diabetes with Chronic Complications,CMS-HCC,V22,V22H79L1
