pure holidays since year 2004, excluding weekends and in-lieu days (双休日调休形成的 quasi holidays); weekday: 0 (Sun), 1 (Mon), ... 6 (Sat)
holiday schedule will update in Nov. each year
date,week_day,enname,cnname
2004-01-01,4,New Year's Day,元旦
2004-01-22,4,Spring Festival,春节
2004-01-23,5,Spring Festival,春节
2004-01-26,1,Spring Festival,春节
2004-05-03,1,Labour Day,劳动节
2004-05-04,2,Labour Day,劳动节
2004-05-05,3,Labour Day,劳动节
2004-10-01,5,National Day,国庆节
2004-10-04,1,National Day,国庆节
2004-10-05,2,National Day,国庆节
2005-01-03,1,New Year's Day,元旦
2005-02-09,3,Spring Festival,春节
2005-02-10,4,Spring Festival,春节
2005-02-11,5,Spring Festival,春节
2005-05-02,1,Labour Day,劳动节
2005-05-03,2,Labour Day,劳动节
2005-05-04,3,Labour Day,劳动节
2005-10-03,1,National Day,国庆节
2005-10-04,2,National Day,国庆节
2005-10-05,3,National Day,国庆节
2006-01-02,1,New Year's Day,元旦
2006-01-03,2,New Year's Day,元旦
2006-01-30,1,Spring Festival,春节
2006-01-31,2,Spring Festival,春节
2006-02-01,3,Spring Festival,春节
2006-05-01,1,Labour Day,劳动节
2006-05-02,2,Labour Day,劳动节
2006-05-03,3,Labour Day,劳动节
2006-10-02,1,National Day,国庆节
2006-10-03,2,National Day,国庆节
2006-10-04,3,National Day,国庆节
2007-01-01,1,New Year's Day,元旦
2007-02-19,1,Spring Festival,春节
2007-02-20,2,Spring Festival,春节
2007-02-21,3,Spring Festival,春节
2007-05-01,2,Labour Day,劳动节
2007-05-02,3,Labour Day,劳动节
2007-05-03,4,Labour Day,劳动节
2007-10-01,1,National Day,国庆节
2007-10-02,2,National Day,国庆节
2007-10-03,3,National Day,国庆节
2008-01-01,2,New Year's Day,元旦
2008-02-06,3,Spring Festival,春节
2008-02-07,4,Spring Festival,春节
2008-02-08,5,Spring Festival,春节
2008-04-04,5,Tomb-sweeping Day,清明
2008-05-01,4,Labour Day,劳动节
2008-06-09,1,Dragon Boat Festival,端午
2008-09-15,1,Mid-autumn Festival,中秋
2008-10-01,3,National Day,国庆节
2008-10-02,4,National Day,国庆节
2008-10-03,5,National Day,国庆节
2009-01-01,4,New Year's Day,元旦
2009-01-26,1,Spring Festival,春节
2009-01-27,2,Spring Festival,春节
2009-01-28,3,Spring Festival,春节
2009-04-06,1,Tomb-sweeping Day,清明
2009-05-01,5,Labour Day,劳动节
2009-05-28,4,Dragon Boat Festival,端午
2009-10-01,4,National Day,国庆节
2009-10-02,5,National Day,国庆节
2009-10-05,1,National Day,国庆节
2009-10-06,2,National Day,国庆节
2010-01-01,5,New Year's Day,元旦
2010-02-15,1,Spring Festival,春节
2010-02-16,2,Spring Festival,春节
2010-02-17,3,Spring Festival,春节
2010-04-05,1,Tomb-sweeping Day,清明
2010-05-03,1,Labour Day,劳动节
2010-06-16,3,Dragon Boat Festival,端午
2010-09-22,3,Mid-autumn Festival,中秋
2010-10-01,5,National Day,国庆节
2010-10-04,1,National Day,国庆节
2010-10-05,2,National Day,国庆节
2011-01-03,1,New Year's Day,元旦
2011-02-02,3,Spring Festival,春节
2011-02-03,4,Spring Festival,春节
2011-02-04,5,Spring Festival,春节
2011-04-05,2,Tomb-sweeping Day,清明
2011-05-02,1,Labour Day,劳动节
2011-06-06,1,Dragon Boat Festival,端午
2011-09-12,1,Mid-autumn Festival,中秋
2011-10-03,1,National Day,国庆节
2011-10-04,2,National Day,国庆节
2011-10-05,3,National Day,国庆节
2012-01-02,1,New Year's Day,元旦
2012-01-23,1,Spring Festival,春节
2012-01-24,2,Spring Festival,春节
2012-01-25,3,Spring Festival,春节
2012-04-04,3,Tomb-sweeping Day,清明
2012-05-01,2,Labour Day,劳动节
2012-06-22,5,Dragon Boat Festival,端午
2012-10-01,1,National Day,国庆节
2012-10-02,2,National Day,国庆节
2012-10-03,3,National Day,国庆节
2012-10-04,4,National Day,国庆节
2013-01-01,2,New Year's Day,元旦
2013-02-11,1,Spring Festival,春节
2013-02-12,2,Spring Festival,春节
2013-02-13,3,Spring Festival,春节
2013-04-04,4,Tomb-sweeping Day,清明
2013-05-01,3,Labour Day,劳动节
2013-06-12,3,Dragon Boat Festival,端午
2013-09-19,4,Mid-autumn Festival,中秋
2013-10-01,2,National Day,国庆节
2013-10-02,3,National Day,国庆节
2013-10-03,4,National Day,国庆节
2014-01-01,3,New Year's Day,元旦
2014-01-31,5,Spring Festival,春节
2014-02-03,1,Spring Festival,春节
2014-02-04,2,Spring Festival,春节
2014-04-07,1,Tomb-sweeping Day,清明
2014-05-01,4,Labour Day,劳动节
2014-06-02,1,Dragon Boat Festival,端午
2014-09-08,1,Mid-autumn Festival,中秋
2014-10-01,3,National Day,国庆节
2014-10-02,4,National Day,国庆节
2014-10-03,5,National Day,国庆节
2015-01-01,4,New Year's Day,元旦
2015-02-18,3,Spring Festival,春节
2015-02-19,4,Spring Festival,春节
2015-02-20,5,Spring Festival,春节
2015-04-06,1,Tomb-sweeping Day,清明
