workdays in weekends (双休日调休形成的于双休日工作的工作日) since year 2004; weekday: 0 (Sun), 1 (Mon), ... 6 (Sat)
节假日安排由国务院发布，一般每年11月前后发布，请及时更新数据
date,week_day,enname,cnname
2004-01-17,6,Spring Festival,春节
2004-01-18,0,Spring Festival,春节
2004-05-08,6,Labour Day,劳动节
2004-05-09,0,Labour Day,劳动节
2004-10-09,6,National Day,国庆节
2004-10-10,0,National Day,国庆节
2005-02-05,6,Spring Festival,春节
2005-02-06,0,Spring Festival,春节
2005-04-30,6,Labour Day,劳动节
2005-05-08,0,Labour Day,劳动节
2005-10-08,6,National Day,国庆节
2005-10-09,0,National Day,国庆节
2006-01-28,6,Spring Festival,春节
2006-02-05,0,Spring Festival,春节
2006-04-29,6,Labour Day,劳动节
2006-04-30,0,Labour Day,劳动节
2006-09-30,6,National Day,国庆节
2006-10-08,0,National Day,国庆节
2006-12-30,6,New Year's Day,元旦
2006-12-31,0,New Year's Day,元旦
2007-02-17,6,Spring Festival,春节
2007-02-25,0,Spring Festival,春节
2007-04-28,6,Labour Day,劳动节
2007-04-29,0,Labour Day,劳动节
2007-09-29,6,National Day,国庆节
2007-09-30,0,National Day,国庆节
2007-12-29,6,New Year's Day,元旦
2008-02-02,6,Spring Festival,春节
2008-02-03,0,Spring Festival,春节
2008-05-04,0,Labour Day,劳动节
2008-09-27,6,National Day,国庆节
2008-09-28,0,National Day,国庆节
2009-01-04,0,New Year's Day,元旦
2009-01-24,6,Spring Festival,春节
2009-02-01,0,Spring Festival,春节
2009-05-31,0,Dragon Boat Festival,端午
2009-09-27,0,National Day,国庆节
2009-10-10,6,National Day,国庆节
2010-02-20,6,Spring Festival,春节
2010-02-21,0,Spring Festival,春节
2010-06-12,6,Dragon Boat Festival,端午
2010-06-13,0,Dragon Boat Festival,端午
2010-09-19,0,Mid-autumn Festival,中秋
2010-09-25,6,Mid-autumn Festival,中秋
2010-09-26,0,National Day,国庆节
2010-10-09,6,National Day,国庆节
