quasi-holidays (由双休日调休形成、于非双休日的准假日) since year 2004; weekday: 0 (Sun), 1 (Mon), ... 6 (Sat)
节假日安排由国务院发布，一般每年11月前后发布，请及时更新数据
date,week_day,enname,cnname
2004-01-27,2,Spring Festival,春节
2004-01-28,3,Spring Festival,春节
2004-05-06,4,Labour Day,劳动节
2004-05-07,5,Labour Day,劳动节
2004-10-06,3,National Day,国庆节
2004-10-07,4,National Day,国庆节
2005-02-14,1,Spring Festival,春节
2005-02-15,2,Spring Festival,春节
2005-05-05,4,Labour Day,劳动节
2005-05-06,5,Labour Day,劳动节
2005-10-06,4,National Day,国庆节
2005-10-07,5,National Day,国庆节
2006-02-02,4,Spring Festival,春节
2006-02-03,5,Spring Festival,春节
2006-05-04,4,Labour Day,劳动节
2006-05-05,5,Labour Day,劳动节
2006-10-05,4,National Day,国庆节
2006-10-06,5,National Day,国庆节
2007-01-02,2,New Year's Day,元旦
2007-01-03,3,New Year's Day,元旦
2007-02-22,4,Spring Festival,春节
2007-02-23,5,Spring Festival,春节
2007-05-04,5,Labour Day,劳动节
2007-05-07,1,Labour Day,劳动节
2007-10-04,4,National Day,国庆节
2007-10-05,5,National Day,国庆节
2007-12-31,1,New Year's Day,元旦
2008-02-11,1,Spring Festival,春节
2008-02-12,2,Spring Festival,春节
2008-05-02,5,Labour Day,劳动节
2008-09-29,1,National Day,国庆节
2008-09-30,2,National Day,国庆节
2009-01-02,5,New Year's Day,元旦
2009-01-29,4,Spring Festival,春节
2009-01-30,5,Spring Festival,春节
2009-05-29,5,Dragon Boat Festival,端午
2009-10-07,3,National Day,国庆节
2009-10-08,4,National Day,国庆节
2010-02-18,4,Spring Festival,春节
2010-02-19,5,Spring Festival,春节
2010-06-14,1,Dragon Boat Festival,端午
2010-06-15,2,Dragon Boat Festival,端午
2010-09-23,4,Mid-autumn Festival,中秋
2010-09-24,5,Mid-autumn Festival,中秋
2010-10-06,3,National Day,国庆节
2010-10-07,4,National Day,国庆节
2011-02-07,1,Spring Festival,春节
2011-02-08,2,Spring Festival,春节
2011-04-04,1,Tomb-sweeping Day,清明
2011-10-06,4,National Day,国庆节
2011-10-07,5,National Day,国庆节
2012-01-03,2,New Year's Day,元旦
2012-01-26,4,Spring Festival,春节
2012-01-27,5,Spring Festival,春节
2012-04-02,1,Tomb-sweeping Day,清明
