lan_interface_id,lan_interface_name,lan_interface_dest_type,lag_min_links,is_native_range,lan_interface_index,network_range_id,network_range_name,subnet,local_ip,gateway,translated_subnet,vlan,mdns_reflector,range_type,internet_only,dhcp_type,dhcp_ip_range,dhcp_relay_group_id,dhcp_relay_group_name,dhcp_microsegmentation
,,,,,INT_3,UzY1ODgyNA==,Example Direct 174,10.17.4.0/24,10.17.4.5,,,,TRUE,Direct,False,,,,,FALSE
,,,,,INT_3,UzY1ODgyMw==,Example Routed 172,10.17.2.0/24,,10.17.0.2,,,FALSE,Routed,False,,,,,FALSE
,,,,,INT_3,UzY1ODgyNQ==,Example Routed 173,10.17.3.0/24,,10.17.0.3,,,FALSE,Routed,False,,,,,FALSE
,,,,,INT_3,UzY1ODg0Mg==,Example VLAN 175,10.17.5.0/24,10.17.5.6,,,175,FALSE,VLAN,False,DHCP_DISABLED,,,,FALSE
,,,,,INT_3,UzY1ODgzOQ==,Example VLAN 176,10.17.6.0/24,10.17.6.1,,,176,FALSE,VLAN,False,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_3,UzY1ODgzMg==,Example VLAN 177,10.17.7.0/24,10.17.7.1,,,177,FALSE,VLAN,False,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_3,UzY1ODgzNw==,Example VLAN 178,10.17.8.0/24,10.17.8.1,,,178,FALSE,VLAN,False,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_3,UzY1ODg0Ng==,Example VLAN 179,10.17.9.0/24,10.17.9.1,,172.17.8.0/24,179,FALSE,VLAN,False,DHCP_RANGE,10.17.9.100-10.17.9.200,,,TRUE
209541,LAN 2,LAN,,TRUE,INT_6,TjI2NTAyODg=,Native Range,10.17.10.0/24,10.17.10.1,,,,FALSE,VLAN,False,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,UzY1ODc4OQ==,Example Direct 1713,10.17.13.0/24,10.17.13.1,,,,FALSE,Direct,False,,,,,FALSE
,,,,,INT_6,UzY1ODc5MA==,Example Routed 1711,10.17.11.0/24,,10.17.10.2,,,FALSE,Routed,False,,,,,FALSE
,,,,,INT_6,UzY1ODc4Mw==,Example Routed 1712,10.17.12.0/24,,10.17.10.3,,,FALSE,Routed,False,,,,,FALSE
,,,,,INT_6,UzY1ODc5NQ==,Example VLAN 1714,10.17.14.0/24,10.17.14.1,,,1714,FALSE,VLAN,False,DHCP_DISABLED,,,,FALSE
,,,,,INT_6,UzY1ODgwNw==,Example VLAN 1715,10.17.15.0/24,10.17.15.1,,,1715,FALSE,VLAN,False,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,UzY1ODgwMg==,Example VLAN 1716,10.17.16.0/24,10.17.16.1,,,1716,FALSE,VLAN,False,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,UzY1ODc5OA==,Example VLAN 1717,10.17.17.0/24,10.17.17.1,,,1717,FALSE,VLAN,False,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,UzY1ODgwOQ==,Example VLAN 1718,10.17.18.0/24,10.17.18.1,,,1718,FALSE,VLAN,False,DHCP_RANGE,10.17.18.100-10.17.18.200,,,TRUE
