T   v u h s v u h s v u h s
       P = 0.010 MPa (45.81)            P = 0.050 MPa (81.33)             P = 0.10 MPa (99.63)
Sat.   14.674   2437.9  2584.7  8.1502  3.240     2483.9  2645.9   7.5939 1.6940   2506.1  2675.5  7.3594
  50   14.869   2443.9  2592.6  8.1749
 100   17.196   2515.5  2687.5  8.4479  3.418     2511.6  2682.5   7.6947 1.6958   2506.7  2676.2  7.3614
 150   19.512   2587.9  2783.0  8.6882  3.889     2585.6  2780.1   7.9401 1.9364   2582.8  2776.4  7.6134
 200   21.825   2661.3  2879.5  8.9038  4.356     2659.9  2877.7   8.1580 2.172    2658.1  2875.3  7.8343
 250   24.136   2736.0  2977.3  9.1002  4.820     2735.0  2976.0   8.3556 2.406    2733.7  2974.3  8.0333
 300   26.445   2812.1  3076.5  9.2813  5.284     2811.3  3075.5   8.5373 2.639    2810.4  3074.3  8.2158
 400   31.063   2968.9  3279.6  9.6077  6.209     2968.5  3278.9   8.8642 3.103    2967.9  3278.2  8.5435
 500   35.679   3132.3  3489.1  9.8978  7.134     3132.0  3488.7   9.1546 3.565    3131.6  3488.1  8.8342
 600   40.295   3302.5  3705.4 10.1608  8.057     3302.2  3705.1   9.4178 4.028    3301.9  3704.7  9.0976
 700   44.911   3479.6  3928.7 10.4028  8.981     3479.4  3928.5   9.6599 4.490    3479.2  3928.2  9.3398
 800   49.526   3663.8  4159.0 10.6281  9.904     3663.6  4158.9   9.8852 4.952    3663.5  4158.6  9.5652
 900   54.141   3855.0  4396.4 10.8396 10.828     3854.9  4396.3  10.0967 5.414    3854.8  4396.1  9.7767
1000   58.757   4053.0  4640.6 11.0393 11.751     4052.9  4640.5  10.2964 5.875    4052.8  4640.3  9.9764
1100   63.372   4257.5  4891.2 11.2287 12.674     4257.4  4891.1  10.4859 6.337    4257.3  4891.0 10.1659
1200   67.987   4467.9  5147.8 11.4091 13.597     4467.8  5147.7  10.6662 6.799    4467.7  5147.6 10.3463
1300   72.602   4683.7  5409.7 11.5811 14.521     4683.6  5409.6  10.8382 7.260    4683.5  5409.5 10.5183
       P = 0.20 MPa (120.23)            P = 0.30 MPa (133.55)             P = 0.40 MPa (143.63)
Sat.   0.8857   2529.5  2706.7  7.1272  0.6058    2543.6  2725.3   6.9919 0.4625   2553.6  2738.6  6.8959
