T       P       vL       vV        uL     Du     uV      hL     Dh     hV     sL     Ds     sV
100     0.10135 0.001044 1.6729    418.94 2087.6 2506.5  419.04 2257.0 2676.1 1.3069 6.0480 7.3549
105     0.12082 0.001048 1.4194    440.02 2072.3 2512.4  440.15 2243.7 2683.8 1.3630 5.9328 7.2958
110     0.14327 0.001052 1.2102    461.14 2057.0 2518.1  461.30 2230.2 2691.5 1.4185 5.8202 7.2387
115     0.16906 0.001056 1.0366    482.30 2041.4 2523.7  482.48 2216.5 2699.0 1.4734 5.7100 7.1833
120     0.19853 0.001060 0.8919    503.50 2025.8 2529.3  503.71 2202.6 2706.3 1.5276 5.6020 7.1296
125     0.2321  0.001065 0.7706    524.74 2009.9 2534.6  524.99 2188.5 2713.5 1.5813 5.4962 7.0775
130     0.2701  0.001070 0.6685    546.02 1993.9 2539.9  546.31 2174.2 2720.5 1.6344 5.3925 7.0269
135     0.3130  0.001075 0.5822    567.35 1977.7 2545.0  567.69 2159.6 2727.3 1.6870 5.2907 6.9777
140     0.3613  0.001080 0.5089    588.74 1961.3 2550.0  589.13 2144.7 2733.9 1.7391 5.1908 6.9299
145     0.4154  0.001085 0.4463    610.18 1944.7 2554.9  610.63 2129.6 2740.3 1.7907 5.0926 6.8833
150     0.4758  0.001091 0.3928    631.68 1927.9 2559.5  632.20 2114.3 2746.5 1.8418 4.9960 6.8379
155     0.5431  0.001096 0.3468    653.24 1910.8 2564.1  653.84 2098.6 2752.4 1.8925 4.9010 6.7935
160     0.6178  0.001102 0.3071    674.87 1893.5 2568.4  675.55 2082.6 2758.1 1.9427 4.8075 6.7502
165     0.7005  0.001108 0.2727    696.56 1876.0 2572.5  697.34 2066.2 2763.5 1.9925 4.7153 6.7078
170     0.7917  0.001114 0.2428    718.33 1858.1 2576.5  719.21 2049.5 2768.7 2.0419 4.6244 6.6663
175     0.8920  0.001121 0.2168    740.17 1840.0 2580.2  741.17 2032.4 2773.6 2.0909 4.5347 6.6256
180     1.0021  0.001127 0.19405   762.09 1821.6 2583.7  763.22 2015.0 2778.2 2.1396 4.4461 6.5857
185     1.1227  0.001134 0.17409   784.10 1802.9 2587.0  785.37 1997.1 2782.4 2.1879 4.3586 6.5465
190     1.2544  0.001141 0.15654   806.19 1783.8 2590.0  807.62 1978.8 2786.4 2.2359 4.2720 6.5079
