T      P       vL       vV        uL     Du     uV      hL     Dh     hV     sL     Ds     sV
 0.01  0.6113 0.001000 206.14    0.00 2375.3 2375.3   0.01 2501.3 2501.4 0.0000 9.1562 9.1562
 5     0.8721 0.001000 147.12   20.97 2361.3 2382.3  20.98 2489.6 2510.6 0.0761 8.9496 9.0257
10     1.2276 0.001000 106.38   42.00 2347.2 2389.2  42.01 2477.7 2519.8 0.1510 8.7498 8.9008
15     1.7051 0.001001  77.93   62.99 2333.1 2396.1  62.99 2465.9 2528.9 0.2245 8.5569 8.7814
20     2.339  0.001002  57.79   83.95 2319.0 2402.9  83.96 2454.1 2538.1 0.2966 8.3706 8.6672
25     3.169  0.001003  43.36  104.88 2304.9 2409.8 104.89 2442.3 2547.2 0.3674 8.1905 8.5580
30     4.246  0.001004  32.89  125.78 2290.8 2416.6 125.79 2430.5 2556.3 0.4369 8.0164 8.4533
35     5.628  0.001006  25.22  146.67 2276.7 2423.4 146.68 2418.6 2565.3 0.5053 7.8478 8.3531
40     7.384  0.001008  19.52  167.56 2262.6 2430.1 167.57 2406.7 2574.3 0.5725 7.6845 8.2570
45     9.593  0.001010  15.26  188.44 2248.4 2436.8 188.45 2394.8 2583.2 0.6387 7.5261 8.1648
50    12.349  0.001012  12.03  209.32 2234.2 2443.5 209.33 2382.7 2592.1 0.7038 7.3725 8.0763
55    15.758  0.001015   9.568 230.21 2219.9 2450.1 230.23 2370.7 2600.9 0.7679 7.2234 7.9913
60    19.940  0.001017   7.671 251.11 2205.5 2456.6 251.13 2358.5 2609.6 0.8312 7.0784 7.9096
65    25.03   0.001020   6.197 272.02 2191.1 2463.1 272.06 2346.2 2618.3 0.8935 6.9375 7.8310
70    31.19   0.001023   5.042 292.95 2176.6 2469.6 292.98 2333.8 2626.8 0.9549 6.8004 7.7553
75    38.58   0.001026   4.131 313.90 2162.0 2475.9 313.93 2321.4 2635.3 1.0155 6.6669 7.6824
80    47.39   0.001029   3.407 334.86 2147.4 2482.2 334.91 2308.8 2643.7 1.0753 6.5369 7.6122
85    57.83   0.001033   2.828 355.84 2132.6 2488.4 355.90 2296.0 2651.9 1.1343 6.4102 7.5445
90    70.14   0.001036   2.361 376.85 2117.7 2494.5 376.92 2283.2 2660.1 1.1925 6.2866 7.4791
95    84.55   0.001040   1.982 397.88 2102.7 2500.6 397.96 2270.2 2668.1 1.2500 6.1659 7.4159
