Created from ELUT#13_ECC_para_2890_2892.fits at 2024-07-09 10:48:18.303713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from elut_creator.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset (ADC),Gain (ADC/keV),Pixel,Detector,ADC Edge #0 - 4 keV,ADC Edge #1 - 5 keV,ADC Edge #2 - 6 keV,ADC Edge #3 - 7 keV,ADC Edge #4 - 8 keV,ADC Edge #5 - 9 keV,ADC Edge #6 - 10 keV,ADC Edge #7 - 11 keV,ADC Edge #8 - 12 keV,ADC Edge #9 - 13 keV,ADC Edge #10 - 14 keV,ADC Edge #11 - 15 keV,ADC Edge #12 - 16 keV,ADC Edge #13 - 18 keV,ADC Edge #14 - 20 keV,ADC Edge #15 - 22 keV,ADC Edge #16 - 25 keV,ADC Edge #17 - 28 keV,ADC Edge #18 - 32 keV,ADC Edge #19 - 36 keV,ADC Edge #20 - 40 keV,ADC Edge #21 - 45 keV,ADC Edge #22 - 50 keV,ADC Edge #23 - 56 keV,ADC Edge #24 - 63 keV,ADC Edge #25 - 70 keV,ADC Edge #26 - 76 keV,ADC Edge #27 - 84 keV,ADC Edge #28 - 100 keV,ADC Edge #29 - 120 keV,ADC Edge #30 - 150 keV
897.7777709960938,0.11056511496936824,0,0,934,943,952,961,970,979,988,997,1006,1015,1024,1033,1042,1061,1079,1097,1124,1151,1187,1223,1260,1305,1350,1404,1468,1531,1585,1658,1802,1983,2254
899.25927734375,0.11056511496936824,1,0,935,944,954,963,972,981,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1153,1189,1225,1261,1306,1351,1406,1469,1532,1587,1659,1804,1985,2256
897.7777709960938,0.11056511496936824,2,0,934,943,952,961,970,979,988,997,1006,1015,1024,1033,1042,1061,1079,1097,1124,1151,1187,1223,1260,1305,1350,1404,1468,1531,1585,1658,1802,1983,2254
899.25927734375,0.1114965268983287,3,0,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1061,1079,1097,1123,1150,1186,1222,1258,1303,1348,1402,1464,1527,1581,1653,1796,1976,2245
889.629638671875,0.11080104564936383,4,0,926,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1052,1070,1088,1115,1142,1178,1215,1251,1296,1341,1395,1458,1521,1576,1648,1792,1973,2243
900.74072265625,0.11164406299995294,5,0,937,946,954,963,972,981,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1187,1223,1259,1304,1349,1402,1465,1528,1581,1653,1796,1976,2244
896.2962646484375,0.10940031687797777,6,0,933,942,951,960,969,979,988,997,1006,1015,1024,1033,1043,1061,1079,1097,1125,1152,1189,1225,1262,1308,1353,1408,1472,1536,1591,1664,1810,1993,2267
889.629638671875,0.11056511496936824,7,0,926,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1052,1071,1089,1116,1143,1179,1215,1251,1297,1342,1396,1459,1523,1577,1649,1794,1975,2246
888.888916015625,0.1092763532585389,8,0,925,935,944,953,962,971,980,990,999,1008,1017,1026,1035,1054,1072,1090,1118,1145,1182,1218,1255,1301,1346,1401,1465,1529,1584,1658,1804,1987,2262
901.4815063476562,0.1102220869262849,9,0,938,947,956,965,974,983,992,1001,1010,1019,1028,1038,1047,1065,1083,1101,1128,1156,1192,1228,1264,1310,1355,1410,1473,1537,1591,1664,1809,1990,2262
902.2222290039062,0.11072835071806117,10,0,938,947,956,965,974,984,993,1002,1011,1020,1029,1038,1047,1065,1083,1101,1128,1155,1191,1227,1263,1309,1354,1408,1471,1534,1589,1661,1805,1986,2257
888.148193359375,0.1114965268983287,11,0,924,933,942,951,960,969,978,987,996,1005,1014,1023,1032,1050,1068,1085,1112,1139,1175,1211,1247,1292,1337,1390,1453,1516,1570,1642,1785,1964,2233
878.5184936523438,0.10906446735412345,0,1,915,924,934,943,952,961,970,979,989,998,1007,1016,1025,1044,1062,1080,1108,1135,1172,1209,1245,1291,1337,1392,1456,1520,1575,1649,1795,1979,2254
891.851806640625,0.11045655437608,1,1,928,937,946,955,964,973,982,991,1000,1010,1019,1028,1037,1055,1073,1091,1118,1145,1182,1218,1254,1299,1345,1399,1462,1526,1580,1652,1797,1978,2250
891.111083984375,0.11016811055054532,2,1,927,936,946,955,964,973,982,991,1000,1009,1018,1027,1036,1054,1073,1091,1118,1145,1182,1218,1254,1300,1345,1399,1463,1527,1581,1654,1799,1980,2253
887.4074096679688,0.10904685294977137,3,1,924,933,942,952,961,970,979,988,997,1007,1016,1025,1034,1052,1071,1089,1117,1144,1181,1218,1254,1300,1346,1401,1465,1529,1584,1658,1804,1988,2263
877.0370483398438,0.10934715356149724,4,1,914,923,932,941,950,959,968,978,987,996,1005,1014,1023,1042,1060,1078,1106,1133,1170,1206,1243,1289,1334,1389,1453,1517,1572,1645,1792,1974,2249
889.629638671875,0.10920563320668758,5,1,926,935,945,954,963,972,981,990,1000,1009,1018,1027,1036,1054,1073,1091,1119,1146,1183,1219,1256,1302,1347,1402,1467,1531,1586,1659,1805,1988,2263
901.4815063476562,0.1104384874825968,6,1,938,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1064,1083,1101,1128,1155,1191,1227,1264,1309,1354,1409,1472,1535,1590,1662,1807,1988,2260
887.4074096679688,0.10956012889648191,7,1,924,933,942,951,960,970,979,988,997,1006,1015,1024,1033,1052,1070,1088,1116,1143,1179,1216,1253,1298,1344,1399,1462,1526,1581,1654,1800,1983,2257
881.4815063476562,0.10853835261384057,8,1,918,928,937,946,955,964,974,983,992,1001,1010,1020,1029,1047,1066,1084,1112,1139,1176,1213,1250,1296,1342,1397,1462,1526,1582,1655,1803,1987,2263
881.4815063476562,0.1104384874825968,9,1,918,927,936,945,954,963,972,981,990,999,1008,1017,1026,1044,1063,1081,1108,1135,1171,1207,1244,1289,1334,1389,1452,1515,1570,1642,1787,1968,2240
892.5925903320312,0.10952458494653217,10,1,929,938,947,957,966,975,984,993,1002,1011,1020,1030,1039,1057,1075,1093,1121,1148,1185,1221,1258,1303,1349,1404,1468,1532,1587,1660,1806,1988,2262
887.4074096679688,0.11025808511202083,11,1,924,933,942,951,960,969,978,987,996,1005,1014,1023,1033,1051,1069,1087,1114,1141,1178,1214,1250,1296,1341,1395,1459,1522,1577,1649,1794,1976,2248
895.5555419921875,0.10874818597630695,0,2,932,942,951,960,969,978,988,997,1006,1015,1024,1033,1043,1061,1079,1098,1125,1153,1190,1227,1263,1309,1355,1411,1475,1539,1594,1668,1815,1999,2275
891.111083984375,0.10878325027432452,1,2,928,937,946,955,965,974,983,992,1001,1011,1020,1029,1038,1057,1075,1093,1121,1149,1185,1222,1259,1305,1351,1406,1470,1535,1590,1663,1810,1994,2270
895.5555419921875,0.1094713008142049,2,2,932,941,950,959,969,978,987,996,1005,1014,1023,1033,1042,1060,1078,1097,1124,1151,1188,1224,1261,1307,1352,1407,1471,1535,1590,1663,1809,1992,2266
896.2962646484375,0.10845115056417402,3,2,933,942,952,961,970,979,989,998,1007,1016,1025,1035,1044,1062,1081,1099,1127,1154,1191,1228,1265,1311,1357,1413,1477,1542,1597,1671,1818,2003,2279
895.5555419921875,0.10782747045319835,4,2,933,942,951,960,970,979,988,998,1007,1016,1025,1035,1044,1062,1081,1100,1127,1155,1192,1229,1267,1313,1359,1415,1480,1545,1600,1675,1823,2008,2287
905.1851806640625,0.10904685294977137,5,2,942,951,960,969,979,988,997,1006,1015,1024,1034,1043,1052,1070,1089,1107,1134,1162,1199,1235,1272,1318,1364,1419,1483,1547,1602,1675,1822,2006,2281
