lan_interface_id,lan_interface_name,lan_interface_dest_type,lag_min_links,is_native_range,lan_interface_index,network_range_id,network_range_name,subnet,local_ip,gateway,translated_subnet,vlan,mdns_reflector,range_type,internet_only,dhcp_type,dhcp_ip_range,dhcp_relay_group_id,dhcp_relay_group_name,dhcp_microsegmentation
,,,,,INT_5,UzY1ODgyMQ==,Example Direct 164,10.16.4.0/24,10.16.4.1,,,,TRUE,Direct,False,,,,,FALSE
,,,,,INT_5,UzY1ODgzOA==,Example Routed 162,10.16.2.0/24,,10.16.0.2,,,FALSE,Routed,False,,,,,FALSE
,,,,,INT_5,UzY1ODgyMg==,Example Routed 163,10.16.3.0/24,,10.16.0.3,,,FALSE,Routed,False,,,,,FALSE
,,,,,INT_5,UzY1ODgzNQ==,Example VLAN 165,10.16.5.0/24,10.16.5.1,,,165,FALSE,VLAN,False,DHCP_DISABLED,,,,FALSE
,,,,,INT_5,UzY1ODg0NQ==,Example VLAN 166,10.16.6.0/24,10.16.6.1,,,166,FALSE,VLAN,False,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_5,UzY1ODgzMQ==,Example VLAN 167,10.16.7.0/24,10.16.7.1,,,167,FALSE,VLAN,False,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_5,UzY1ODgzMw==,Example VLAN 168,10.16.8.0/24,10.16.8.1,,,168,FALSE,VLAN,False,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_5,UzY1ODgxNg==,Example VLAN 169,10.16.9.0/24,10.16.9.1,,,169,FALSE,VLAN,False,DHCP_RANGE,10.16.9.100-10.16.9.200,,,TRUE
,Example LAG Member 4,LAN_LAG_MEMBER,,,INT_4,,,,,,,,,,,,,,,
209542,LAN 2,LAN,,TRUE,INT_6,TjI2NTAyOTA=,Native Range,10.16.10.0/24,10.16.10.1,,,,FALSE,VLAN,False,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,UzY1ODc5Mw==,Example Direct 1613,10.16.13.0/24,10.16.13.1,,,,FALSE,Direct,False,,,,,FALSE
,,,,,INT_6,UzY1ODc4NA==,Example Routed 1611,10.16.11.0/24,,10.16.10.2,,,FALSE,Routed,False,,,,,FALSE
,,,,,INT_6,UzY1ODc4Nw==,Example Routed 1612,10.16.12.0/24,,10.16.10.3,,,FALSE,Routed,False,,,,,FALSE
,,,,,INT_6,UzY1ODgwMQ==,Example VLAN 1614,10.16.14.0/24,10.16.14.1,,,1614,FALSE,VLAN,False,DHCP_DISABLED,,,,FALSE
,,,,,INT_6,UzY1ODc5Nw==,Example VLAN 1615,10.16.15.0/24,10.16.15.1,,,1615,FALSE,VLAN,False,ACCOUNT_DEFAULT,,,,FALSE
,,,,,INT_6,UzY1ODgwMw==,Example VLAN 1616,10.16.16.0/24,10.16.16.1,,,1616,FALSE,VLAN,False,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,UzY1ODgxMg==,Example VLAN 1617,10.16.17.0/24,10.16.17.1,,,1617,FALSE,VLAN,False,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,INT_6,UzY1ODgwMA==,Example VLAN 1618,10.16.18.0/24,10.16.18.1,,,1618,FALSE,VLAN,False,DHCP_RANGE,10.16.18.100-10.16.18.200,,,TRUE
