ID,LongName,Region,AvailableData,DescriptionURL,LicenseInfoURL,IsOpenData,References,ContactPersonMail,SourceURL,RawDataPath,Compress,TdsName,LiveData
ABOM,One Minute Solar Data of the Australian Bureau of Meteorology,Australia,"GHI,DHI,BNI",http://reg.bom.gov.au/climate/reg/oneminsolar/,http://reg.bom.gov.au/climate/data/oneminsolar/about-IDCJAC0022.shtml,No, -,http://reg.bom.gov.au/climate/data-services/data-requests.shtml,http://reg.bom.gov.au/cgi-bin/climate/oneminsolar/getFile.cgi?stn_num={Station_UID:06d}&year={YYYY}&month={MM},{Station_ID}/{Station_ID}-{YYYY}-{MM}.zip,No,bom-stations,No
BSRN,Baseline Surface Radiation Network,Global,"GHI,DHI,BNI,T2,RH,P",https://bsrn.awi.de/,https://bsrn.awi.de/data/conditions-of-data-release/,No,https://doi.org/10.5194/essd-10-1491-2018.,Dr. Amelie Driemel (https://www.awi.de/ueber-uns/organisation/mitarbeiter/amelie-driemel.html),ftp://{FTP_USER}:{FTP_PASS}@ftp.bsrn.awi.de/,{station_id}/{station_id}{MM}{YY}*.dat.gz,,bsrn-stations,Yes
enerMENA,The enerMENA Meteorological Network - Solar Radiation Measurements in the MENA Region ,North Africa,"GHI,DHI,BNI,T2,RH,WS,WD,P",https://www.dlr.de/sf/en/desktopdefault.aspx/tabid-8680/12865_read-32404/,-,No,https://hal.archives-ouvertes.fr/hal-01252536/,Dr.-Ing. Marc Röger (https://www.dlr.de/sf/en/desktopdefault.aspx/tabid-7084/mailcontact-13535/),ftp://{FTP_USER}:{FTP_PASS}@ftp.oie-lab.net/data/DNICast/time_series/enerMENA/,{Station_ID}/*.txt,,enermena-stations,No
ESMAP,Energy Sector Management Assistance Program (ESMAP) ,Global,"GHI,DHI,BNI,T2,RH,WS,WD,P",https://energydata.info/dataset?q=solar+radiation+Measurements,https://creativecommons.org/licenses/by/4.0/,No,https://energydata.info/dataset?q=solar+radiation+Measurements,https://energydata.info/dataset?q=solar+radiation+Measurements,"https+json://energydata.info/api/3/action/package_show?id={Station_DatasetId}|result.resources[?contains(name, '_Raw') && contains(name, '{Station_Name}')].url",{Station_ID}.zip,,,No
ISE_PVLive,PV-Live dataset - Measurements of global horizontal and tilted solar irradiance,Germany,GHI,https://www.ise.fraunhofer.de/en/press-media/press-releases/2021/project-pv-live-new-solar-irradiance-data-set-published.html,https://creativecommons.org/licenses/by/4.0/legalcode,No,10.1016/j.solener.2021.11.023,elke.lorenz@ise.fraunhofer.de,"https+json://zenodo.org/api/records/?q=conceptrecid:4036728|hits.hits[0].files[?contains(links.self, '{YYYY}-{MM}')][].links.self",pvlive_{YYYY}-{MM}.zip!{YYYY}-{MM}/{Station_UID}_{YYYY}-{MM}.tsv,,ise_pvlive,No
NREL_MIDC,Measurement and Instrumentation Data Center (MIDC),USA,"GHI,DHI,BNI,T2,RH,WS",https://midcdmz.nrel.gov/,-,Yes, -, -,https://midcdmz.nrel.gov/apps/data_api.pl?site={Station_ID};begin={YYYY}{MM}{DD};end={YYYY_end}{MM_end}{DD_end},{Station_ID}/{Station_ID}-{YYYY}-{MM}.csv.gz,Yes,nrelmidc-stations,Yes
SAURAN,Southern African Universities Radiometric Network,South Africa,"GHI,DHI,BNI",https://sauran.ac.za/ ,https://sauran.ac.za/,No,"Drummond A.J. and Kirsten M.K., ""The Measurement of Solar Radiation in South Africa"", South African J. Sci. 48, 103, 1951",crses@sun.ac.za,https://sauran.ac.za/api/DataDownload/{Station_ID}/Minute/{YYYY}-{MM}-{DD}/{YYYY_end}-{MM_end}-{DD_end},{Station_ID}/{Station_ID}_minute_{YYYY}{MM}.csv.gz,Yes,sauran-stations,Yes
SKYNET,International SKYNET Data Center,"Japan (5), South Korea (1), Thailand (1)","GHI,BNI",https://www.skynet-isdc.org/data.php,https://www.skynet-isdc.org/data_policy.php,No,https://doi.org/10.5194/amt-2017-440,https://www.skynet-isdc.org/aboutSKYNET.php,"http://atmos3.cr.chiba-u.jp/annual/<ch1_direct_solar,cm21_global_solar>_{station_id}{YYYY}.txt.zip",*_solar_{station_id}{YYYY}.txt.zip,,,Yes
SOLRAD,NOAA's SOLar RADiation Measurement Network,USA,"GHI,DHI,BNI,T2,RH,WS,WD,P",https://gml.noaa.gov/grad/solrad/index.html, -,Yes,https://doi.org/10.1175/1520-0477(1996)077<2857:TNISIS>2.0.CO;2,https://gml.noaa.gov/about/contacts.html,ftp://aftp.cmdl.noaa.gov/data/radiation/solrad/{station_id}/,{YYYY}/{station_id}{YY}{DDD}.dat,"",solrad-stations,Yes
SURFRAD,NOAA's Surface Radiation Budget Network (SURFRAD),USA,"GHI,DHI,BNI,T2,RH,WS,WD,P",https://gml.noaa.gov/grad/surfrad/sitepage.html , -,Yes,https://doi.org/10.1175/1520-0477(1996)077<2857:TNISIS>2.0.CO;2,https://gml.noaa.gov/about/contacts.html,ftp://aftp.cmdl.noaa.gov/data/radiation/surfrad/{Station_UID}/,{YYYY}/{station_id}{YY}{DDD}.dat,"",surfrad-stations,Yes
IEA_PVPS,Validation dataset of the task 16 of IEA PVPS,Global,"GHI,DIF,DNI,GHIcalc,Elev,Azim,Kc",http://dx.doi.org/10.23646/3491b1a6-e32d-4b34-9dbb-ee0affe49e36 ,https://creativecommons.org/licenses/by/4.0/,Yes,http://dx.doi.org/10.23646/3491b1a6-e32d-4b34-9dbb-ee0affe49e36 ,Anne Forstinger (a.forstinger@cspservices.de),,{Station_ID}_{YYYY}.csv.gz,,iea-pvps,No
METEO_FRANCE,,France,GHI,,,,,,,{Station_ID}.csv,,,No
