abbrev	common_name	genome_name	db_prefix	taxonomy_id
aca-poly	Spiny chromis	acanthochromis_polyacanthus	acanthochromis_polyacanthus	80966
acc-nisu	Eurasian sparrowhawk	accipiter_nisus	accipiter_nisus	211598
ail-mela	Giant panda	ailuropoda_melanoleuca	ailuropoda_melanoleuca	9646
ama-coll	Yellow-billed parrot	amazona_collaria	amazona_collaria	241587
amp-citr	Midas cichlid	amphilophus_citrinellus	amphilophus_citrinellus	61819
amp-ocel	Clown anemonefish	amphiprion_ocellaris	amphiprion_ocellaris	80972
amp-perc	Orange clownfish	amphiprion_percula	amphiprion_percula	161767
ana-test	Climbing perch	anabas_testudineus	anabas_testudineus	64144
ana-plat	Mallard	anas_platyrhynchos	anas_platyrhynchos	8839
ana-plat-plat	Duck	anas_platyrhynchos_platyrhynchos	anas_platyrhynchos_platyrhynchos	8840
ana-zono	Eastern spot-billed duck	anas_zonorhyncha	anas_zonorhyncha	75864
ano-caro	Green anole	anolis_carolinensis	anolis_carolinensis	28377
ans-brac	Pink-footed goose	anser_brachyrhynchus	anser_brachyrhynchus	132585
ans-cygn	Swan goose	anser_cygnoides	anser_cygnoides	8845
aot-nanc	Ma's night monkey	aotus_nancymaae	aotus_nancymaae	37293
apt-haas	Great spotted kiwi	apteryx_haastii	apteryx_haastii	8823
apt-owen	Little spotted kiwi	apteryx_owenii	apteryx_owenii	8824
apt-rowi	Okarito brown kiwi	apteryx_rowi	apteryx_rowi	308060
aqu-chry-chry	Golden eagle	aquila_chrysaetos_chrysaetos	aquila_chrysaetos_chrysaetos	223781
ast-call	Eastern happy	astatotilapia_calliptera	astatotilapia_calliptera	8154
ast-mexi	Mexican tetra	astyanax_mexicanus	astyanax_mexicanus	7994
ast-mexi-pach	Pachon cavefish	astyanax_mexicanus_pachon	astyanax_mexicanus_pachon	7994
ath-cuni	Burrowing owl	athene_cunicularia	athene_cunicularia	194338
bal-musc	Blue whale	balaenoptera_musculus	balaenoptera_musculus	9771
