building_category,to,from,factor
house,Electric boiler,Electricity,1.0
house,DH,Electricity - Bio,1.0
house,Electricity,HP - Bio - Electricity,1.0
house,Gas,Electricity,1.0
house,Electricity - Bio,HP - Electricity,1.0
house,Electricity - Bio,Electricity,0.79
house,HP - Bio - Electricity,HP - Electricity,0.94
house,DH - Bio,Electricity - Bio,1.0
house,HP - Bio - Electricity,Electricity,0.98
house,HP - Electricity,Electricity,0.9
house,HP Central heating - Bio,Electric boiler,1.0
house,HP Central heating - Electric boiler,Electric boiler,1.0
house,HP Central heating - Gas,Electric boiler,1.0
house,Electric boiler - Solar,Electric boiler,1.0
apartment_block,Electric boiler,HP Central heating - Electric boiler,0.4
apartment_block,DH,Electricity,0.55
apartment_block,Electricity,Electricity - Bio,0.8
apartment_block,Gas,Electricity,1.0
apartment_block,Electricity - Bio,Electricity,1.0
apartment_block,DH - Bio,Electricity - Bio,1.0
apartment_block,HP - Bio - Electricity,Electricity - Bio,1.0
apartment_block,Electricity,HP - Electricity,1.0
apartment_block,HP Central heating - Bio,Electric boiler,1.0
apartment_block,HP Central heating - Electric boiler,Electric boiler,1.0
apartment_block,HP Central heating - Gas,Electric boiler,1.0
apartment_block,Electric boiler - Solar,Electric boiler,1.0
non_residential,Electric boiler,Electricity,1.0
non_residential,DH,Electricity,0.8
non_residential,DH,Electric boiler,0.95
non_residential,Gas,Electric boiler,0.7
non_residential,Electricity - Bio,Electricity,0.2
non_residential,DH - Bio,Electric boiler,1.0
non_residential,HP - Bio - Electricity,Electricity - Bio,1.0
non_residential,HP - Electricity,Electricity,1.0
non_residential,HP Central heating - Electric boiler,HP Central heating - Bio,0.95
non_residential,HP Central heating - Electric boiler,HP - Electricity,0.98
non_residential,HP Central heating - Electric boiler,Electric boiler,0.89
non_residential,HP Central heating - Gas,Electric boiler,1.0
non_residential,Electric boiler - Solar,Electric boiler,1.0
