id,product_name,category,quantity,unit_price,amount,sale_date,region,customer_id
1,Widget A,Electronics,5,99.99,499.95,2025-01-15,North,C001
2,Widget B,Electronics,3,149.99,449.97,2025-01-15,South,C002
3,Gadget X,Home,10,29.99,299.90,2025-01-16,North,C001
4,Gadget Y,Home,7,49.99,349.93,2025-01-16,East,C003
5,Thingamajig,Electronics,2,199.99,399.98,2025-01-17,West,C004
6,Doohickey,Office,15,15.99,239.85,2025-01-17,North,C002
7,Whatchamacallit,Home,4,89.99,359.96,2025-01-18,South,C005
8,Gizmo,Electronics,1,299.99,299.99,2025-01-18,East,C001
9,Contraption,Office,8,45.99,367.92,2025-01-19,West,C003
10,Apparatus,Office,6,75.99,455.94,2025-01-19,North,C004
11,Super Widget,Electronics,3,249.99,749.97,2025-01-20,South,C002
12,Mini Gadget,Home,12,19.99,239.88,2025-01-20,East,C005
13,Pro Device,Electronics,2,399.99,799.98,2025-01-21,North,C001
14,Basic Tool,Office,20,9.99,199.80,2025-01-21,West,C003
15,Premium Kit,Home,5,129.99,649.95,2025-01-22,South,C004
