index,asset_class,code,description,locale
0,stocks,CS,Common Stock,us
1,stocks,PFD,Preferred Stock,us
2,stocks,WARRANT,Warrant,us
3,stocks,RIGHT,Rights,us
4,stocks,BOND,Corporate Bond,us
5,stocks,ETF,Exchange Traded Fund,us
6,stocks,ETN,Exchange Traded Note,us
7,stocks,ETV,Exchange Traded Vehicle,us
8,stocks,SP,Structured Product,us
9,stocks,ADRC,American Depository Receipt Common,us
10,stocks,ADRP,American Depository Receipt Preferred,us
11,stocks,ADRW,American Depository Receipt Warrants,us
12,stocks,ADRR,American Depository Receipt Rights,us
13,stocks,FUND,Fund,us
14,stocks,BASKET,Basket,us
15,stocks,UNIT,Unit,us
16,stocks,LT,Liquidating Trust,us
17,stocks,OS,Ordinary Shares,us
18,stocks,GDR,Global Depository Receipts,us
19,stocks,OTHER,Other Security Type,us
20,stocks,NYRS,New York Registry Shares,us
21,stocks,AGEN,Agency Bond,us
22,stocks,EQLK,Equity Linked Bond,us
23,stocks,ETS,Single-security ETF,us
